trace,workload_class,events_total,events_warmup,events_measurement,events_per_1k_measurement_instructions,eligible_accesses_seen,history_updates,contexts_formed,training_pairs_created,unique_contexts,context_revisits,prediction_lookups,prediction_context_hits,prediction_context_misses,predictions_generated,predictions_above_threshold,predictions_below_threshold,prefetch_requests_generated,prefetch_requests_accepted,prefetches_completed,prefetched_lines_demanded_later,prefetches_useful,pending_max,pending_expired,hash_collisions,hash_alias_misses,entry_insertions,entry_evictions,entry_reuses_before_eviction,shadow_predictions,shadow_correct,shadow_unresolved,request_rejected_or_duplicate,prefetch_requests_duplicate,prefetch_requests_rejected,prefetch_requests_rejected_or_duplicate,prefetches_unused,prefetches_unused_from_json,prefetches_late,prefetches_early,duplicate_exact,rejection_reason,native_spp_prefetch_requests,native_spp_prefetches_useful
403.gcc-48B,control/compute,13379,4917,8462,0.8462,13379,13379,13376,13360,8015,5361,13376,2491,10885,0,0,2491,0,0,0,0,0,16,16,10611,10611,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,2730.0,15.0
410.bwaves-945B,irregular/memory-bound,430,338,92,0.0092,430,430,427,411,427,0,427,0,427,0,0,0,0,0,0,0,0,16,16,203,203,202,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,144.0,27.0
416.gamess-875B,irregular/scientific,18608,6945,11663,1.1663000000000001,18608,18608,18605,18589,15221,3384,18605,394,18211,0,0,394,0,0,0,0,0,16,16,17940,17940,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,5988.0,0.0
429.mcf-217B,irregular/pointer-heavy,1150581,91238,1059343,105.9343,1150581,1150581,1150578,1150562,350857,799721,1150578,7,1150571,0,0,7,0,0,0,0,0,16,16,1150304,1150304,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,6697850.0,156742.0
434.zeusmp-10B,irregular/scientific,243081,63992,179089,17.9089,243081,243081,243078,243062,144054,99024,243078,2706,240372,0,0,2706,0,0,0,0,0,16,16,240104,240104,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,139812.0,7839.0
435.gromacs-111B,regular/scientific,204541,75028,129513,12.9513,204541,204541,204538,204522,166019,38519,204538,49,204489,0,0,49,0,0,0,0,0,16,16,204211,204211,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,94127.0,67.0
447.dealII-3B,irregular/tree/index-like,25212,9486,15726,1.5726,25212,25212,25209,25193,6109,19100,25209,18,25191,0,0,18,0,0,0,0,0,16,16,24920,24920,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,111081.0,3.0
453.povray-576B,control/compute,117766,44301,73465,7.3465,117766,117766,117763,117747,25542,92221,117763,1169,116594,0,0,1169,0,0,0,0,0,16,16,116321,116321,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,42336.0,265.0
454.calculix-104B,irregular/scientific,622,597,25,0.0025,622,622,619,603,619,0,619,0,619,0,0,0,0,0,0,0,0,16,16,382,382,228,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,33.0,4.0
465.tonto-44B,control/compute,31460,24495,6965,0.6965,31460,31460,31457,31441,15003,16454,31457,161,31296,0,0,161,0,0,0,0,0,16,16,31020,31020,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,45253.0,1.0
