trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold
403.gcc-48B,confidence,0,825,0.3311922922521076,8,0.0
403.gcc-48B,confidence,1,1602,0.6431152147731835,8,0.0
403.gcc-48B,confidence,2,50,0.02007226013649137,8,0.0
403.gcc-48B,confidence,3,9,0.0036130068245684463,8,0.0
403.gcc-48B,confidence,4,4,0.0016057808109193096,8,0.0
403.gcc-48B,confidence,5,1,0.0004014452027298274,8,0.0
403.gcc-48B,confidence,6,0,0.0,8,0.0
403.gcc-48B,confidence,7,0,0.0,8,0.0
403.gcc-48B,confidence,8,0,0.0,8,0.0
403.gcc-48B,confidence,9,0,0.0,8,0.0
403.gcc-48B,confidence,10,0,0.0,8,0.0
403.gcc-48B,confidence,11,0,0.0,8,0.0
403.gcc-48B,confidence,12,0,0.0,8,0.0
403.gcc-48B,confidence,13,0,0.0,8,0.0
403.gcc-48B,confidence,14,0,0.0,8,0.0
403.gcc-48B,confidence,15,0,0.0,8,0.0
403.gcc-48B,support,0,0,0.0,not_applicable,not_applicable
403.gcc-48B,support,1,0,0.0,not_applicable,not_applicable
403.gcc-48B,support,2,72,0.02890405459654757,not_applicable,not_applicable
403.gcc-48B,support,3,98,0.039341629867523084,not_applicable,not_applicable
403.gcc-48B,support,4,92,0.03693295865114412,not_applicable,not_applicable
403.gcc-48B,support,5,55,0.022079486150140507,not_applicable,not_applicable
403.gcc-48B,support,6,62,0.024889602569249297,not_applicable,not_applicable
403.gcc-48B,support,7,51,0.020473705339221198,not_applicable,not_applicable
403.gcc-48B,support,8,55,0.022079486150140507,not_applicable,not_applicable
403.gcc-48B,support,9,54,0.021678040947410677,not_applicable,not_applicable
403.gcc-48B,support,10,52,0.020875150541951024,not_applicable,not_applicable
403.gcc-48B,support,11,50,0.02007226013649137,not_applicable,not_applicable
403.gcc-48B,support,12,47,0.018867924528301886,not_applicable,not_applicable
403.gcc-48B,support,13,27,0.010839020473705338,not_applicable,not_applicable
403.gcc-48B,support,14,36,0.014452027298273785,not_applicable,not_applicable
403.gcc-48B,support,15,41,0.01645925331192292,not_applicable,not_applicable
403.gcc-48B,support,16,1699,0.6820553994379767,not_applicable,not_applicable
410.bwaves-945B,confidence,0,0,0.0,8,not_applicable
410.bwaves-945B,confidence,1,0,0.0,8,not_applicable
410.bwaves-945B,confidence,2,0,0.0,8,not_applicable
410.bwaves-945B,confidence,3,0,0.0,8,not_applicable
410.bwaves-945B,confidence,4,0,0.0,8,not_applicable
410.bwaves-945B,confidence,5,0,0.0,8,not_applicable
410.bwaves-945B,confidence,6,0,0.0,8,not_applicable
410.bwaves-945B,confidence,7,0,0.0,8,not_applicable
410.bwaves-945B,confidence,8,0,0.0,8,not_applicable
410.bwaves-945B,confidence,9,0,0.0,8,not_applicable
410.bwaves-945B,confidence,10,0,0.0,8,not_applicable
410.bwaves-945B,confidence,11,0,0.0,8,not_applicable
410.bwaves-945B,confidence,12,0,0.0,8,not_applicable
410.bwaves-945B,confidence,13,0,0.0,8,not_applicable
410.bwaves-945B,confidence,14,0,0.0,8,not_applicable
410.bwaves-945B,confidence,15,0,0.0,8,not_applicable
410.bwaves-945B,support,0,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,1,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,2,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,3,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,4,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,5,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,6,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,7,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,8,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,9,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,10,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,11,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,12,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,13,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,14,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,15,0,0.0,not_applicable,not_applicable
410.bwaves-945B,support,16,0,0.0,not_applicable,not_applicable
416.gamess-875B,confidence,0,71,0.1802030456852792,8,0.0
416.gamess-875B,confidence,1,319,0.8096446700507615,8,0.0
416.gamess-875B,confidence,2,4,0.01015228426395939,8,0.0
416.gamess-875B,confidence,3,0,0.0,8,0.0
416.gamess-875B,confidence,4,0,0.0,8,0.0
416.gamess-875B,confidence,5,0,0.0,8,0.0
416.gamess-875B,confidence,6,0,0.0,8,0.0
416.gamess-875B,confidence,7,0,0.0,8,0.0
416.gamess-875B,confidence,8,0,0.0,8,0.0
416.gamess-875B,confidence,9,0,0.0,8,0.0
416.gamess-875B,confidence,10,0,0.0,8,0.0
416.gamess-875B,confidence,11,0,0.0,8,0.0
416.gamess-875B,confidence,12,0,0.0,8,0.0
416.gamess-875B,confidence,13,0,0.0,8,0.0
416.gamess-875B,confidence,14,0,0.0,8,0.0
416.gamess-875B,confidence,15,0,0.0,8,0.0
416.gamess-875B,support,0,0,0.0,not_applicable,not_applicable
416.gamess-875B,support,1,0,0.0,not_applicable,not_applicable
416.gamess-875B,support,2,59,0.14974619289340102,not_applicable,not_applicable
416.gamess-875B,support,3,44,0.1116751269035533,not_applicable,not_applicable
416.gamess-875B,support,4,42,0.1065989847715736,not_applicable,not_applicable
416.gamess-875B,support,5,29,0.07360406091370558,not_applicable,not_applicable
416.gamess-875B,support,6,27,0.06852791878172589,not_applicable,not_applicable
416.gamess-875B,support,7,21,0.0532994923857868,not_applicable,not_applicable
416.gamess-875B,support,8,24,0.06091370558375635,not_applicable,not_applicable
416.gamess-875B,support,9,23,0.0583756345177665,not_applicable,not_applicable
416.gamess-875B,support,10,12,0.030456852791878174,not_applicable,not_applicable
416.gamess-875B,support,11,9,0.02284263959390863,not_applicable,not_applicable
416.gamess-875B,support,12,8,0.02030456852791878,not_applicable,not_applicable
416.gamess-875B,support,13,10,0.025380710659898477,not_applicable,not_applicable
416.gamess-875B,support,14,7,0.017766497461928935,not_applicable,not_applicable
416.gamess-875B,support,15,4,0.01015228426395939,not_applicable,not_applicable
416.gamess-875B,support,16,75,0.19035532994923857,not_applicable,not_applicable
429.mcf-217B,confidence,0,0,0.0,8,0.0
429.mcf-217B,confidence,1,7,1.0,8,0.0
429.mcf-217B,confidence,2,0,0.0,8,0.0
429.mcf-217B,confidence,3,0,0.0,8,0.0
429.mcf-217B,confidence,4,0,0.0,8,0.0
429.mcf-217B,confidence,5,0,0.0,8,0.0
429.mcf-217B,confidence,6,0,0.0,8,0.0
429.mcf-217B,confidence,7,0,0.0,8,0.0
429.mcf-217B,confidence,8,0,0.0,8,0.0
429.mcf-217B,confidence,9,0,0.0,8,0.0
429.mcf-217B,confidence,10,0,0.0,8,0.0
429.mcf-217B,confidence,11,0,0.0,8,0.0
429.mcf-217B,confidence,12,0,0.0,8,0.0
429.mcf-217B,confidence,13,0,0.0,8,0.0
429.mcf-217B,confidence,14,0,0.0,8,0.0
429.mcf-217B,confidence,15,0,0.0,8,0.0
429.mcf-217B,support,0,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,1,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,2,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,3,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,4,1,0.14285714285714285,not_applicable,not_applicable
429.mcf-217B,support,5,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,6,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,7,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,8,1,0.14285714285714285,not_applicable,not_applicable
429.mcf-217B,support,9,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,10,2,0.2857142857142857,not_applicable,not_applicable
429.mcf-217B,support,11,1,0.14285714285714285,not_applicable,not_applicable
429.mcf-217B,support,12,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,13,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,14,1,0.14285714285714285,not_applicable,not_applicable
429.mcf-217B,support,15,0,0.0,not_applicable,not_applicable
429.mcf-217B,support,16,1,0.14285714285714285,not_applicable,not_applicable
434.zeusmp-10B,confidence,0,105,0.038802660753880266,8,0.0
434.zeusmp-10B,confidence,1,2466,0.9113082039911308,8,0.0
434.zeusmp-10B,confidence,2,121,0.044715447154471545,8,0.0
434.zeusmp-10B,confidence,3,12,0.004434589800443459,8,0.0
434.zeusmp-10B,confidence,4,2,0.0007390983000739098,8,0.0
434.zeusmp-10B,confidence,5,0,0.0,8,0.0
434.zeusmp-10B,confidence,6,0,0.0,8,0.0
434.zeusmp-10B,confidence,7,0,0.0,8,0.0
434.zeusmp-10B,confidence,8,0,0.0,8,0.0
434.zeusmp-10B,confidence,9,0,0.0,8,0.0
434.zeusmp-10B,confidence,10,0,0.0,8,0.0
434.zeusmp-10B,confidence,11,0,0.0,8,0.0
434.zeusmp-10B,confidence,12,0,0.0,8,0.0
434.zeusmp-10B,confidence,13,0,0.0,8,0.0
434.zeusmp-10B,confidence,14,0,0.0,8,0.0
434.zeusmp-10B,confidence,15,0,0.0,8,0.0
434.zeusmp-10B,support,0,0,0.0,not_applicable,not_applicable
434.zeusmp-10B,support,1,0,0.0,not_applicable,not_applicable
434.zeusmp-10B,support,2,520,0.19216555801921656,not_applicable,not_applicable
434.zeusmp-10B,support,3,492,0.18181818181818182,not_applicable,not_applicable
434.zeusmp-10B,support,4,455,0.1681448632668145,not_applicable,not_applicable
434.zeusmp-10B,support,5,411,0.15188470066518847,not_applicable,not_applicable
434.zeusmp-10B,support,6,259,0.09571322985957133,not_applicable,not_applicable
434.zeusmp-10B,support,7,117,0.043237250554323724,not_applicable,not_applicable
434.zeusmp-10B,support,8,8,0.0029563932002956393,not_applicable,not_applicable
434.zeusmp-10B,support,9,5,0.0018477457501847746,not_applicable,not_applicable
434.zeusmp-10B,support,10,5,0.0018477457501847746,not_applicable,not_applicable
434.zeusmp-10B,support,11,6,0.0022172949002217295,not_applicable,not_applicable
434.zeusmp-10B,support,12,7,0.0025868440502586844,not_applicable,not_applicable
434.zeusmp-10B,support,13,4,0.0014781966001478197,not_applicable,not_applicable
434.zeusmp-10B,support,14,5,0.0018477457501847746,not_applicable,not_applicable
434.zeusmp-10B,support,15,3,0.0011086474501108647,not_applicable,not_applicable
434.zeusmp-10B,support,16,409,0.15114560236511457,not_applicable,not_applicable
435.gromacs-111B,confidence,0,0,0.0,8,0.0
435.gromacs-111B,confidence,1,49,1.0,8,0.0
435.gromacs-111B,confidence,2,0,0.0,8,0.0
435.gromacs-111B,confidence,3,0,0.0,8,0.0
435.gromacs-111B,confidence,4,0,0.0,8,0.0
435.gromacs-111B,confidence,5,0,0.0,8,0.0
435.gromacs-111B,confidence,6,0,0.0,8,0.0
435.gromacs-111B,confidence,7,0,0.0,8,0.0
435.gromacs-111B,confidence,8,0,0.0,8,0.0
435.gromacs-111B,confidence,9,0,0.0,8,0.0
435.gromacs-111B,confidence,10,0,0.0,8,0.0
435.gromacs-111B,confidence,11,0,0.0,8,0.0
435.gromacs-111B,confidence,12,0,0.0,8,0.0
435.gromacs-111B,confidence,13,0,0.0,8,0.0
435.gromacs-111B,confidence,14,0,0.0,8,0.0
435.gromacs-111B,confidence,15,0,0.0,8,0.0
435.gromacs-111B,support,0,0,0.0,not_applicable,not_applicable
435.gromacs-111B,support,1,0,0.0,not_applicable,not_applicable
435.gromacs-111B,support,2,25,0.5102040816326531,not_applicable,not_applicable
435.gromacs-111B,support,3,5,0.10204081632653061,not_applicable,not_applicable
435.gromacs-111B,support,4,5,0.10204081632653061,not_applicable,not_applicable
435.gromacs-111B,support,5,3,0.061224489795918366,not_applicable,not_applicable
435.gromacs-111B,support,6,2,0.04081632653061224,not_applicable,not_applicable
435.gromacs-111B,support,7,1,0.02040816326530612,not_applicable,not_applicable
435.gromacs-111B,support,8,0,0.0,not_applicable,not_applicable
435.gromacs-111B,support,9,0,0.0,not_applicable,not_applicable
435.gromacs-111B,support,10,0,0.0,not_applicable,not_applicable
435.gromacs-111B,support,11,0,0.0,not_applicable,not_applicable
435.gromacs-111B,support,12,1,0.02040816326530612,not_applicable,not_applicable
435.gromacs-111B,support,13,3,0.061224489795918366,not_applicable,not_applicable
435.gromacs-111B,support,14,1,0.02040816326530612,not_applicable,not_applicable
435.gromacs-111B,support,15,1,0.02040816326530612,not_applicable,not_applicable
435.gromacs-111B,support,16,2,0.04081632653061224,not_applicable,not_applicable
447.dealII-3B,confidence,0,0,0.0,8,0.0
447.dealII-3B,confidence,1,17,0.9444444444444444,8,0.0
447.dealII-3B,confidence,2,1,0.05555555555555555,8,0.0
447.dealII-3B,confidence,3,0,0.0,8,0.0
447.dealII-3B,confidence,4,0,0.0,8,0.0
447.dealII-3B,confidence,5,0,0.0,8,0.0
447.dealII-3B,confidence,6,0,0.0,8,0.0
447.dealII-3B,confidence,7,0,0.0,8,0.0
447.dealII-3B,confidence,8,0,0.0,8,0.0
447.dealII-3B,confidence,9,0,0.0,8,0.0
447.dealII-3B,confidence,10,0,0.0,8,0.0
447.dealII-3B,confidence,11,0,0.0,8,0.0
447.dealII-3B,confidence,12,0,0.0,8,0.0
447.dealII-3B,confidence,13,0,0.0,8,0.0
447.dealII-3B,confidence,14,0,0.0,8,0.0
447.dealII-3B,confidence,15,0,0.0,8,0.0
447.dealII-3B,support,0,0,0.0,not_applicable,not_applicable
447.dealII-3B,support,1,0,0.0,not_applicable,not_applicable
