trace,phase,depth,total_contexts,unique_contexts,contexts_seen_once,contexts_seen_ge2,contexts_seen_ge5,contexts_seen_ge10,mean_observations_per_context,median_observations_per_context,revisit_rate
403.gcc-48B,warmup,1,4917,1667,1408,259,124,83,2.9496100779844032,1,0.6609721374822046
403.gcc-48B,warmup,2,4916,2611,2254,357,135,64,1.8828035235541938,1,0.4688771358828316
403.gcc-48B,warmup,4,4914,3614,3342,272,54,48,1.3597122302158273,1.0,0.26455026455026454
403.gcc-48B,warmup,8,4910,4310,4175,135,36,31,1.1392111368909512,1.0,0.12219959266802444
403.gcc-48B,warmup,16,4902,4746,4686,60,11,6,1.0328697850821744,1.0,0.03182374541003672
403.gcc-48B,measurement,1,8462,2298,2051,247,117,75,3.6823324630113143,1.0,0.7284329945639328
403.gcc-48B,measurement,2,8461,3465,3092,373,198,127,2.441847041847042,1,0.5904739392506796
403.gcc-48B,measurement,4,8459,4940,4464,476,198,83,1.7123481781376517,1.0,0.41600662016786855
403.gcc-48B,measurement,8,8455,6548,6200,348,96,50,1.2912339645693343,1.0,0.22554701360141927
403.gcc-48B,measurement,16,8447,7715,7506,209,35,17,1.0948801036941025,1,0.08665798508346158
403.gcc-48B,combined,1,13379,3738,3346,392,157,118,3.579186730872124,1.0,0.7206069212945662
403.gcc-48B,combined,2,13378,5647,5101,546,280,165,2.3690455108907384,1,0.5778890716101062
403.gcc-48B,combined,4,13376,8015,7247,768,260,101,1.6688708671241423,1,0.40079246411483255
403.gcc-48B,combined,8,13372,10551,10003,548,142,54,1.2673680219884371,1,0.21096320670056834
403.gcc-48B,combined,16,13364,12337,12018,319,67,17,1.083245521601686,1,0.07684824902723736
410.bwaves-945B,warmup,1,338,338,338,0,0,0,1,1.0,0.0
410.bwaves-945B,warmup,2,337,337,337,0,0,0,1,1,0.0
410.bwaves-945B,warmup,4,335,335,335,0,0,0,1,1,0.0
410.bwaves-945B,warmup,8,331,331,331,0,0,0,1,1,0.0
410.bwaves-945B,warmup,16,323,323,323,0,0,0,1,1,0.0
410.bwaves-945B,measurement,1,92,92,92,0,0,0,1,1.0,0.0
410.bwaves-945B,measurement,2,91,91,91,0,0,0,1,1,0.0
410.bwaves-945B,measurement,4,89,89,89,0,0,0,1,1,0.0
410.bwaves-945B,measurement,8,85,85,85,0,0,0,1,1,0.0
410.bwaves-945B,measurement,16,77,77,77,0,0,0,1,1,0.0
410.bwaves-945B,combined,1,430,430,430,0,0,0,1,1.0,0.0
410.bwaves-945B,combined,2,429,429,429,0,0,0,1,1,0.0
410.bwaves-945B,combined,4,427,427,427,0,0,0,1,1,0.0
410.bwaves-945B,combined,8,423,423,423,0,0,0,1,1,0.0
410.bwaves-945B,combined,16,415,415,415,0,0,0,1,1,0.0
416.gamess-875B,warmup,1,6945,1868,689,1179,415,163,3.717880085653105,2.0,0.7310295176385889
416.gamess-875B,warmup,2,6944,4640,3741,899,158,48,1.4965517241379311,1.0,0.3317972350230415
416.gamess-875B,warmup,4,6942,6018,5572,446,68,9,1.1535393818544366,1.0,0.1331028522039758
416.gamess-875B,warmup,8,6938,6675,6481,194,6,0,1.0394007490636703,1,0.03790717786105506
416.gamess-875B,warmup,16,6930,6889,6852,37,0,0,1.0059515169110176,1,0.005916305916305917
416.gamess-875B,measurement,1,11663,2065,283,1782,754,286,5.6479418886198545,3,0.8229443539398097
416.gamess-875B,measurement,2,11662,7067,5466,1601,295,93,1.6502051790009906,1,0.3940147487566455
416.gamess-875B,measurement,4,11660,9633,8778,855,121,35,1.2104225059690648,1,0.17384219554030875
416.gamess-875B,measurement,8,11656,11058,10672,386,22,1,1.0540784952070898,1.0,0.051304049416609473
416.gamess-875B,measurement,16,11648,11567,11492,75,0,0,1.0070026800380392,1,0.006953983516483516
416.gamess-875B,combined,1,18608,2363,457,1906,1255,491,7.874735505713077,5,0.8730116079105761
416.gamess-875B,combined,2,18607,10599,8293,2306,546,183,1.7555429757524295,1,0.43037566507228464
416.gamess-875B,combined,4,18605,15221,13955,1266,223,69,1.2223244202089218,1,0.1818865896264445
416.gamess-875B,combined,8,18601,17625,17020,605,47,2,1.0553758865248226,1,0.052470297295844306
416.gamess-875B,combined,16,18593,18469,18355,114,0,0,1.0067139531106177,1,0.006669176571828107
429.mcf-217B,warmup,1,91238,90011,89706,305,62,54,1.0136316672406707,1,0.013448343891799469
429.mcf-217B,warmup,2,91237,90351,90159,192,55,47,1.0098062002634172,1,0.00971097252211274
429.mcf-217B,warmup,4,91235,90569,90461,108,53,37,1.0073535094789607,1,0.007299830109059023
429.mcf-217B,warmup,8,91231,90694,90618,76,45,26,1.0059210091075486,1.0,0.005886157117646414
429.mcf-217B,warmup,16,91223,90826,90765,61,37,18,1.0043709950895119,1.0,0.004351972638479331
429.mcf-217B,measurement,1,1059343,90754,9798,80956,80262,80150,11.672686603345307,13.0,0.9143299195822316
429.mcf-217B,measurement,2,1059342,179604,31005,148599,101905,37996,5.898209394000133,5.0,0.8304570195460956
429.mcf-217B,measurement,4,1059340,260822,70344,190478,96043,18262,4.061543888168943,3.0,0.7537882077519965
429.mcf-217B,measurement,8,1059336,435995,201687,234308,61352,4228,2.429697588275095,2,0.5884261461896886
429.mcf-217B,measurement,16,1059328,712227,547151,165076,32908,1019,1.4873460287239884,1,0.3276614986104398
429.mcf-217B,combined,1,1150581,100734,19479,81255,80295,80173,11.421972720233486,14.0,0.9124494494520594
429.mcf-217B,combined,2,1150580,247717,95966,151751,103871,39455,4.644735726655821,3,0.7847024978706392
429.mcf-217B,combined,4,1150578,350857,160165,190692,96095,18312,3.279336025788284,2,0.6950602219058595
429.mcf-217B,combined,8,1150574,526655,292270,234385,61399,4259,2.184682572082293,1,0.5422675986073038
429.mcf-217B,combined,16,1150566,803067,637929,165138,32945,1037,1.4327148295223189,1,0.30202439494996375
