trace,horizon,samples,instruction_distance,cycle_mean,cycle_median,cycle_p25,cycle_p75,cycle_p95,qualifying_access_distance_mean,llc_access_distance,absolute_cache_line_delta_mean,absolute_cache_line_delta_median,same_4k_page_fraction,same_2m_region_fraction
403.gcc-48B,16,13363,not_exposed,6876.904063458805,6003.0,3292.0,10583.0,14256.0,16,not_exposed,85130233.90496147,76072512,0.033151238494350074,0.03322607198982264
410.bwaves-945B,16,414,not_exposed,95181.48550724638,494.5,217.0,4273.0,801764.0,16,not_exposed,80313343.90821256,60196339.0,0.22946859903381642,0.22946859903381642
416.gamess-875B,16,18592,not_exposed,6404.060079604131,3381.0,1046.0,7163.0,23303.0,16,not_exposed,91610923.83105637,80385074.0,0.04916092943201377,0.04916092943201377
429.mcf-217B,16,1150565,not_exposed,1656.5213438614942,1642.0,1458.0,1854.0,2500.0,16,not_exposed,67667651.3333736,47661308,0.25904924971644366,0.25904924971644366
434.zeusmp-10B,16,243065,not_exposed,545.9836052084834,383.0,194.0,616.0,1347.0,16,not_exposed,89307523.72495835,75750450,0.031160389196305514,0.031164503322156624
435.gromacs-111B,16,204525,not_exposed,601.0506197286395,584.0,268.0,817.0,1185.0,16,not_exposed,91099899.3338516,80545580,0.04410218799657743,0.04410218799657743
447.dealII-3B,16,25196,not_exposed,5786.584418161613,4985.0,1435.0,9310.0,9972.0,16,not_exposed,35658516.32394031,16.0,0.5666375615177012,0.5666375615177012
453.povray-576B,16,117750,not_exposed,1127.8205010615711,467.0,175.0,1225.0,4315.0,16,not_exposed,87771951.37601699,78030054.0,0.04474734607218683,0.04474734607218683
454.calculix-104B,16,606,not_exposed,134561.102310231,20127.5,304.0,62043.0,73916.0,16,not_exposed,64740298.57920792,38453935.0,0.3580858085808581,0.3580858085808581
465.tonto-44B,16,31444,not_exposed,3713.5692659966926,178.0,168.0,749.0,3964.0,16,not_exposed,44816916.642634526,1920176.0,0.4951024042742654,0.4951024042742654
