trace,dominant_failure_stage,no_context_recurrence,h16_oracle_accuracy,shadow_actual_accuracy,prediction_context_hits,predictions_generated,accepted_requests,useful_prefetches,unknown_bucket
403.gcc-48B,low confidence or support gating,False,0.15798764342453664,0.0,2491,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
410.bwaves-945B,no context recurrence,True,0.0,0.0,0,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
416.gamess-875B,no context recurrence,True,0.052884615384615384,0.0,394,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
429.mcf-217B,low confidence or support gating,False,0.7959292590344165,0.0,7,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
434.zeusmp-10B,low confidence or support gating,False,0.5367460719716168,0.0,2706,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
435.gromacs-111B,no context recurrence,True,0.025877303711184043,0.0,49,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
447.dealII-3B,low confidence or support gating,False,0.9555555555555556,0.0,18,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
453.povray-576B,low confidence or support gating,False,0.4826570680628272,0.0,1169,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
454.calculix-104B,no context recurrence,True,0.0,0.0,0,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
465.tonto-44B,low confidence or support gating,False,0.25391849529780564,0.0,161,0,0,0,"cache state, exact duplicate/rejection reason, and timeliness are not exposed"
