trace,stage,count,fraction_of_eligible,fraction_of_previous_stage,note
403.gcc-48B,eligible_accesses,13379,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,contexts_formed,13376,0.9997757679946184,0.9997757679946184,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,context_hits,2491,0.1861873084684954,0.18622906698564592,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
403.gcc-48B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,eligible_accesses,430,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,contexts_formed,427,0.9930232558139535,0.9930232558139535,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,context_hits,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
410.bwaves-945B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,eligible_accesses,18608,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,contexts_formed,18605,0.9998387790197765,0.9998387790197765,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,context_hits,394,0.021173688736027516,0.021177102929320075,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,predictions_generated,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,predictions_above_threshold,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,prefetch_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,accepted_requests,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
416.gamess-875B,useful_prefetches,0,0.0,0.0,exact counters except request rejection reason and cache-state subdivisions
429.mcf-217B,eligible_accesses,1150581,1.0,1.0,exact counters except request rejection reason and cache-state subdivisions
