trace,phase,depth,horizon,train_examples,evaluation_examples,reusable_evaluation_examples,oracle_top1_accuracy,coverage,evaluation_context_reuse
403.gcc-48B,measurement_70_30,1,1,5922,2538,1911,0.5143903715332286,0.7529550827423168,0.7529550827423168
403.gcc-48B,measurement_70_30,1,4,5919,2535,1908,0.3018867924528302,0.7526627218934911,0.7526627218934911
403.gcc-48B,measurement_70_30,1,8,5915,2531,1904,0.17542016806722688,0.7522718293164757,0.7522718293164757
403.gcc-48B,measurement_70_30,1,16,5907,2523,1898,0.08008429926238145,0.7522790328973444,0.7522790328973444
403.gcc-48B,measurement_70_30,1,32,5891,2507,1884,0.04246284501061571,0.751495811727164,0.751495811727164
403.gcc-48B,measurement_70_30,2,1,5921,2538,1603,0.6668746101060512,0.6315996847911741,0.6315996847911741
403.gcc-48B,measurement_70_30,2,4,5918,2535,1600,0.411875,0.631163708086785,0.631163708086785
403.gcc-48B,measurement_70_30,2,8,5914,2531,1596,0.22305764411027568,0.6305807981035164,0.6305807981035164
403.gcc-48B,measurement_70_30,2,16,5906,2523,1591,0.10182275298554368,0.63059849385652,0.63059849385652
403.gcc-48B,measurement_70_30,2,32,5890,2507,1578,0.04752851711026616,0.6294375747905864,0.6294375747905864
403.gcc-48B,measurement_70_30,4,1,5919,2538,1143,0.7909011373578303,0.450354609929078,0.450354609929078
403.gcc-48B,measurement_70_30,4,4,5916,2535,1140,0.5289473684210526,0.44970414201183434,0.44970414201183434
403.gcc-48B,measurement_70_30,4,8,5912,2531,1136,0.3283450704225352,0.4488344527854603,0.4488344527854603
403.gcc-48B,measurement_70_30,4,16,5904,2523,1133,0.15798764342453664,0.44906856916369403,0.44906856916369403
403.gcc-48B,measurement_70_30,4,32,5888,2507,1122,0.054367201426024955,0.44754686876745114,0.44754686876745114
403.gcc-48B,measurement_70_30,8,1,5915,2538,619,0.8352180936995154,0.24389282899921197,0.24389282899921197
403.gcc-48B,measurement_70_30,8,4,5912,2535,616,0.5957792207792207,0.24299802761341222,0.24299802761341222
403.gcc-48B,measurement_70_30,8,8,5908,2531,613,0.4274061990212072,0.24219676017384434,0.24219676017384434
403.gcc-48B,measurement_70_30,8,16,5900,2523,613,0.1859706362153344,0.24296472453428458,0.24296472453428458
403.gcc-48B,measurement_70_30,8,32,5884,2507,608,0.06414473684210527,0.2425209413641803,0.2425209413641803
403.gcc-48B,measurement_70_30,16,1,5907,2538,236,0.902542372881356,0.09298660362490149,0.09298660362490149
403.gcc-48B,measurement_70_30,16,4,5904,2535,236,0.6483050847457628,0.09309664694280079,0.09309664694280079
403.gcc-48B,measurement_70_30,16,8,5900,2531,236,0.4364406779661017,0.09324377716317661,0.09324377716317661
403.gcc-48B,measurement_70_30,16,16,5892,2523,236,0.19915254237288135,0.09353943717796274,0.09353943717796274
403.gcc-48B,measurement_70_30,16,32,5876,2507,236,0.09745762711864407,0.09413641802951735,0.09413641802951735
410.bwaves-945B,measurement_70_30,1,1,63,27,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,1,4,60,24,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,1,8,56,20,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,1,16,48,12,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,1,32,32,0,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,2,1,62,27,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,2,4,59,24,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,2,8,55,20,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,2,16,47,12,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,2,32,31,0,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,4,1,60,27,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,4,4,57,24,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,4,8,53,20,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,4,16,45,12,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,4,32,29,0,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,8,1,56,27,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,8,4,53,24,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,8,8,49,20,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,8,16,41,12,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,8,32,25,0,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,16,1,48,27,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,16,4,45,24,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,16,8,41,20,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,16,16,33,12,0,0.0,0.0,0.0
410.bwaves-945B,measurement_70_30,16,32,17,0,0,0.0,0.0,0.0
416.gamess-875B,measurement_70_30,1,1,8163,3498,3192,0.3073308270676692,0.9125214408233276,0.9125214408233276
416.gamess-875B,measurement_70_30,1,4,8160,3495,3189,0.07808090310442145,0.9124463519313305,0.9124463519313305
416.gamess-875B,measurement_70_30,1,8,8156,3491,3186,0.032642812303829254,0.9126324835290748,0.9126324835290748
416.gamess-875B,measurement_70_30,1,16,8148,3483,3179,0.008493236866939289,0.9127189204708585,0.9127189204708585
416.gamess-875B,measurement_70_30,1,32,8132,3467,3167,0.006946637196084623,0.9134698586674358,0.9134698586674358
416.gamess-875B,measurement_70_30,2,1,8162,3498,1464,0.4959016393442623,0.41852487135506006,0.41852487135506006
416.gamess-875B,measurement_70_30,2,4,8159,3495,1461,0.14921286789869953,0.41802575107296136,0.41802575107296136
416.gamess-875B,measurement_70_30,2,8,8155,3491,1461,0.06981519507186858,0.41850472643941566,0.41850472643941566
416.gamess-875B,measurement_70_30,2,16,8147,3483,1458,0.021262002743484224,0.4186046511627907,0.4186046511627907
416.gamess-875B,measurement_70_30,2,32,8131,3467,1455,0.009621993127147767,0.41967118546293625,0.41967118546293625
416.gamess-875B,measurement_70_30,4,1,8160,3498,624,0.6233974358974359,0.1783876500857633,0.1783876500857633
416.gamess-875B,measurement_70_30,4,4,8157,3495,624,0.266025641025641,0.17854077253218884,0.17854077253218884
416.gamess-875B,measurement_70_30,4,8,8153,3491,624,0.1330128205128205,0.1787453451733028,0.1787453451733028
416.gamess-875B,measurement_70_30,4,16,8145,3483,624,0.052884615384615384,0.17915590008613264,0.17915590008613264
416.gamess-875B,measurement_70_30,4,32,8129,3467,624,0.019230769230769232,0.1799826939717335,0.1799826939717335
416.gamess-875B,measurement_70_30,8,1,8156,3498,184,0.7282608695652174,0.052601486563750716,0.052601486563750716
416.gamess-875B,measurement_70_30,8,4,8153,3495,184,0.3641304347826087,0.05264663805436338,0.05264663805436338
416.gamess-875B,measurement_70_30,8,8,8149,3491,184,0.2391304347826087,0.052706960756230305,0.052706960756230305
416.gamess-875B,measurement_70_30,8,16,8141,3483,184,0.06521739130434782,0.05282802182026988,0.05282802182026988
416.gamess-875B,measurement_70_30,8,32,8125,3467,184,0.0,0.05307182001730603,0.05307182001730603
416.gamess-875B,measurement_70_30,16,1,8148,3498,36,0.8888888888888888,0.010291595197255575,0.010291595197255575
416.gamess-875B,measurement_70_30,16,4,8145,3495,36,0.5555555555555556,0.010300429184549357,0.010300429184549357
416.gamess-875B,measurement_70_30,16,8,8141,3491,36,0.2222222222222222,0.01031223145230593,0.01031223145230593
416.gamess-875B,measurement_70_30,16,16,8133,3483,36,0.08333333333333333,0.0103359173126615,0.0103359173126615
416.gamess-875B,measurement_70_30,16,32,8117,3467,36,0.0,0.010383616959907702,0.010383616959907702
429.mcf-217B,measurement_70_30,1,1,741539,317802,315726,0.7102139196645192,0.9934676307889818,0.9934676307889818
429.mcf-217B,measurement_70_30,1,4,741536,317799,315723,0.6516851797303332,0.9934675691238802,0.9934675691238802
429.mcf-217B,measurement_70_30,1,8,741532,317795,315720,0.6353952869631319,0.9934706335845435,0.9934706335845435
429.mcf-217B,measurement_70_30,1,16,741524,317787,315713,0.6572013189193984,0.9934736159754805,0.9934736159754805
429.mcf-217B,measurement_70_30,1,32,741508,317771,315707,0.6335938069159062,0.9935047565699828,0.9935047565699828
429.mcf-217B,measurement_70_30,2,1,741538,317802,310184,0.8934084285456374,0.9760290998797994,0.9760290998797994
429.mcf-217B,measurement_70_30,2,4,741535,317799,310182,0.792963485953408,0.9760320202392078,0.9760320202392078
429.mcf-217B,measurement_70_30,2,8,741531,317795,310179,0.7882932113392589,0.9760348652433173,0.9760348652433173
429.mcf-217B,measurement_70_30,2,16,741523,317787,310173,0.7825793992384895,0.9760405554663973,0.9760405554663973
429.mcf-217B,measurement_70_30,2,32,741507,317771,310167,0.7718035767828298,0.9760708182936769,0.9760708182936769
429.mcf-217B,measurement_70_30,4,1,741536,317802,299805,0.9006154000100065,0.9433704004380086,0.9433704004380086
429.mcf-217B,measurement_70_30,4,4,741533,317799,299805,0.8043828488517536,0.9433793057876205,0.9433793057876205
429.mcf-217B,measurement_70_30,4,8,741529,317795,299803,0.8041647348425466,0.9433848864834249,0.9433848864834249
429.mcf-217B,measurement_70_30,4,16,741521,317787,299798,0.7959292590344165,0.9433929015346757,0.9433929015346757
429.mcf-217B,measurement_70_30,4,32,741505,317771,299792,0.7820889149810535,0.9434215205289344,0.9434215205289344
429.mcf-217B,measurement_70_30,8,1,741532,317802,261636,0.9061291259612592,0.8232673173862971,0.8232673173862971
429.mcf-217B,measurement_70_30,8,4,741529,317799,261636,0.8273173416502316,0.823275088971331,0.823275088971331
429.mcf-217B,measurement_70_30,8,8,741525,317795,261633,0.8155775456460003,0.8232760112651237,0.8232760112651237
429.mcf-217B,measurement_70_30,8,16,741517,317787,261628,0.8170532206032993,0.8232810026841878,0.8232810026841878
429.mcf-217B,measurement_70_30,8,32,741501,317771,261620,0.8042580842443239,0.8232972801168137,0.8232972801168137
429.mcf-217B,measurement_70_30,16,1,741524,317802,170073,0.9359921915883179,0.5351539637887741,0.5351539637887741
429.mcf-217B,measurement_70_30,16,4,741521,317799,170073,0.8781405631699329,0.5351590156042026,0.5351590156042026
429.mcf-217B,measurement_70_30,16,8,741517,317795,170070,0.8760921973305109,0.5351563114586447,0.5351563114586447
429.mcf-217B,measurement_70_30,16,16,741509,317787,170070,0.8731816310930793,0.535169783534254,0.535169783534254
429.mcf-217B,measurement_70_30,16,32,741493,317771,170070,0.8504262950549774,0.5351967297204591,0.5351967297204591
434.zeusmp-10B,measurement_70_30,1,1,125361,53726,24009,0.27485526260985466,0.4468786062614004,0.4468786062614004
434.zeusmp-10B,measurement_70_30,1,4,125358,53723,24008,0.26195434855048316,0.44688494685702584,0.44688494685702584
434.zeusmp-10B,measurement_70_30,1,8,125354,53719,24008,0.23825391536154616,0.44691822260280345,0.44691822260280345
434.zeusmp-10B,measurement_70_30,1,16,125346,53711,24006,0.25422810963925685,0.44694755264284786,0.44694755264284786
434.zeusmp-10B,measurement_70_30,1,32,125330,53695,23989,0.19079578139980824,0.44676413073843,0.44676413073843
434.zeusmp-10B,measurement_70_30,2,1,125360,53726,7601,0.7762136560978818,0.14147712466961992,0.14147712466961992
434.zeusmp-10B,measurement_70_30,2,4,125357,53723,7601,0.6270227601631364,0.14148502503583196,0.14148502503583196
434.zeusmp-10B,measurement_70_30,2,8,125353,53719,7601,0.5230890672279963,0.1414955602300862,0.1414955602300862
434.zeusmp-10B,measurement_70_30,2,16,125345,53711,7601,0.5080910406525457,0.14151663532609707,0.14151663532609707
434.zeusmp-10B,measurement_70_30,2,32,125329,53695,7589,0.39043352220318883,0.14133531986218456,0.14133531986218456
434.zeusmp-10B,measurement_70_30,4,1,125358,53726,5940,0.8841750841750842,0.11056099467669285,0.11056099467669285
434.zeusmp-10B,measurement_70_30,4,4,125355,53723,5940,0.7368686868686869,0.11056716862423915,0.11056716862423915
434.zeusmp-10B,measurement_70_30,4,8,125351,53719,5940,0.6144781144781145,0.11057540162698487,0.11057540162698487
434.zeusmp-10B,measurement_70_30,4,16,125343,53711,5919,0.5367460719716168,0.11020088994805534,0.11020088994805534
434.zeusmp-10B,measurement_70_30,4,32,125327,53695,5919,0.3934786281466464,0.11023372753515225,0.11023372753515225
434.zeusmp-10B,measurement_70_30,8,1,125354,53726,4806,0.904702455264253,0.08945389569296058,0.08945389569296058
