trace,depth,horizon,absolute_address_oracle_accuracy,delta_oracle_accuracy,miss_only_absolute_oracle_accuracy,all_qualifying_accesses,miss_only_accesses,delta_predictability_advantage,sample_raw_address,sample_normalized_line,sample_context_signature,sample_target_line,note
403.gcc-48B,4,16,0.15798764342453664,0.15805785123966942,0.0,8462,2068,7.02078151327834e-05,5210693824,81417091,12807469729901895932,230847201,offline oracle only; production WAM remains absolute-line and qualifying-access based
410.bwaves-945B,4,16,0.0,0.0,0.0,92,92,0.0,1209113280,18892395,3071546642527816023,263979693,offline oracle only; production WAM remains absolute-line and qualifying-access based
416.gamess-875B,4,16,0.052884615384615384,0.20939334637964774,0.0,11663,473,0.15650873099503235,5210694080,81417095,3725298623129276803,227346850,offline oracle only; production WAM remains absolute-line and qualifying-access based
429.mcf-217B,4,16,0.7959292590344165,0.7321835106109831,0.7983196371487389,1059343,1054320,-0.06374574842343339,5210694272,81417098,5263699487487914665,130256079,offline oracle only; production WAM remains absolute-line and qualifying-access based
434.zeusmp-10B,4,16,0.5367460719716168,0.6048088064889919,0.0,179089,28064,0.0680627345173751,5210696256,81417129,873001587287934102,187735207,offline oracle only; production WAM remains absolute-line and qualifying-access based
435.gromacs-111B,4,16,0.025877303711184043,0.021052631578947368,0.0,129513,3127,-0.004824672132236675,7468722368,116698787,17861133226672693583,263979652,offline oracle only; production WAM remains absolute-line and qualifying-access based
447.dealII-3B,4,16,0.9555555555555556,0.9020656136087485,0.0,15726,239,-0.05348994194680712,5210696512,81417133,7722454805545380932,227346851,offline oracle only; production WAM remains absolute-line and qualifying-access based
453.povray-576B,4,16,0.4826570680628272,0.5108622994652406,0.0,73465,1030,0.028205231402413433,13233096832,206767138,4769516404516088518,219601948,offline oracle only; production WAM remains absolute-line and qualifying-access based
454.calculix-104B,4,16,0.0,0.0,0.0,25,25,0.0,5210694464,81417101,3421874735743267549,227346867,offline oracle only; production WAM remains absolute-line and qualifying-access based
465.tonto-44B,4,16,0.25391849529780564,0.9044715447154471,0.0,6965,537,0.6505530494176415,5210696576,81417134,6790922766673578435,81417150,offline oracle only; production WAM remains absolute-line and qualifying-access based
