trace,distribution,threshold_label,confidence_threshold,lookup_count,admitted_count,admitted_fraction,correct_predictions,conditional_accuracy,mode
403.gcc-48B,confidence,0.25,4,2491,5,0.002007226013649137,4,0.8,offline counterfactual only; production threshold unchanged
403.gcc-48B,confidence,0.50,8,2491,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
403.gcc-48B,confidence,0.75,12,2491,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
403.gcc-48B,confidence,current,8,2491,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
410.bwaves-945B,confidence,0.25,4,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
410.bwaves-945B,confidence,0.50,8,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
410.bwaves-945B,confidence,0.75,12,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
410.bwaves-945B,confidence,current,8,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
416.gamess-875B,confidence,0.25,4,394,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
416.gamess-875B,confidence,0.50,8,394,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
416.gamess-875B,confidence,0.75,12,394,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
416.gamess-875B,confidence,current,8,394,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
429.mcf-217B,confidence,0.25,4,7,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
429.mcf-217B,confidence,0.50,8,7,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
429.mcf-217B,confidence,0.75,12,7,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
429.mcf-217B,confidence,current,8,7,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
434.zeusmp-10B,confidence,0.25,4,2706,2,0.0007390983000739098,2,1.0,offline counterfactual only; production threshold unchanged
434.zeusmp-10B,confidence,0.50,8,2706,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
434.zeusmp-10B,confidence,0.75,12,2706,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
434.zeusmp-10B,confidence,current,8,2706,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
435.gromacs-111B,confidence,0.25,4,49,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
435.gromacs-111B,confidence,0.50,8,49,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
435.gromacs-111B,confidence,0.75,12,49,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
435.gromacs-111B,confidence,current,8,49,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
447.dealII-3B,confidence,0.25,4,18,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
447.dealII-3B,confidence,0.50,8,18,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
447.dealII-3B,confidence,0.75,12,18,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
447.dealII-3B,confidence,current,8,18,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
453.povray-576B,confidence,0.25,4,1169,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
453.povray-576B,confidence,0.50,8,1169,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
453.povray-576B,confidence,0.75,12,1169,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
453.povray-576B,confidence,current,8,1169,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
454.calculix-104B,confidence,0.25,4,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
454.calculix-104B,confidence,0.50,8,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
454.calculix-104B,confidence,0.75,12,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
454.calculix-104B,confidence,current,8,0,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
465.tonto-44B,confidence,0.25,4,161,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
465.tonto-44B,confidence,0.50,8,161,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
465.tonto-44B,confidence,0.75,12,161,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
465.tonto-44B,confidence,current,8,161,0,0.0,0,0.0,offline counterfactual only; production threshold unchanged
