workload,depth,actual_accuracy,top3_accuracy,log_loss,oracle_accuracy,oracle_context_reuse,simulated_context_reuse,fallback_count,unseen_context_count,conditional_entropy,unique_contexts,total_observations,mean_observations,median_observations,contexts_seen_once,contexts_seen_at_least_2,contexts_seen_at_least_5,contexts_seen_at_least_10,storage_bytes
HigherOrder,1,0.75234375,0.75703125,1.151629820131678,0.75234375,1.0,1.0,0,0,1.6610634246883624,202,8959,44.351485148514854,22.0,0,202,202,202,4848
HigherOrder,2,0.75234375,0.75703125,1.151629820131678,0.75234375,1.0,1.0,0,0,1.6612488526214602,301,8958,29.760797342192692,22,0,301,301,301,12072
HigherOrder,3,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0.0,400,8957,22.3925,22.0,0,400,400,400,21672
HigherOrder,4,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0.0,400,8956,22.39,22.0,0,400,400,400,31272
HigherOrder,8,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0.0,400,8952,22.38,22.0,0,400,400,400,69672
Depth4,1,0.8072916666666666,0.8229166666666666,0.637529653070779,0.8072916666666666,1.0,1.0,0,0,0.9162427153792545,51,2687,52.68627450980392,22,0,51,51,51,1224
Depth4,2,0.8072916666666666,0.8229166666666666,0.637529653070779,0.8072916666666666,1.0,1.0,0,0,0.9165838332926496,74,2686,36.2972972972973,22.0,0,74,74,74,3000
Depth4,3,0.8072916666666666,0.8229166666666666,0.637529653070779,0.8072916666666666,1.0,1.0,0,0,0.9169252052976002,97,2685,27.68041237113402,22,0,97,97,97,5328
Depth4,4,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0.0,120,2684,22.366666666666667,22.0,0,120,120,120,8208
Depth4,8,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0.0,120,2680,22.333333333333332,22.0,0,120,120,120,19728
