repetitions,depth,accuracy,speedup,reuse,storage_bytes
1,1,0.2413793103448276,0.9863325740318907,0.5172413793103449,840
1,2,0.2413793103448276,0.9755914382275629,0.27586206896551724,2040
1,3,0.2413793103448276,0.9650817236255572,0.0,3576
1,4,0.2413793103448276,0.9547960308710033,0.0,5088
2,1,0.7413793103448276,0.9744009830022528,1.0,1200
2,2,0.7413793103448276,0.9629629629629629,1.0,2952
2,3,1.0,0.9410601265822784,1.0,5256
2,4,1.0,0.9303871724677356,1.0,7560
4,1,0.7586206896551724,1.028480593456087,1.0,1200
4,2,0.7586206896551724,1.0129158512720156,1.0,2952
4,3,1.0,0.9340712223291626,1.0,5256
4,4,1.0,0.9212149976269578,1.0,7560
8,1,0.7575757575757576,1.0123092072870508,1.0,1200
8,2,0.7575757575757576,0.9843207660083783,1.0,2952
8,3,1.0,0.9020511133048151,1.0,5256
8,4,1.0,0.8797603765511339,1.0,7560
16,1,0.7570498915401301,0.985982316152685,1.0,1200
16,2,0.7570498915401301,0.9392912172573189,1.0,2952
16,3,1.0,0.8524284515708026,1.0,5256
16,4,1.0,0.8173042545584555,1.0,7560
32,1,0.7592190889370932,0.9489593229121686,1.0,1200
32,2,0.7592190889370932,0.878969682425406,1.0,2952
32,3,1.0,0.7874444603697864,1.0,5256
32,4,1.0,0.7386394191987093,1.0,7560
64,1,0.7603036876355749,0.906541478781889,1.0,1200
64,2,0.7603036876355749,0.8138412909665613,1.0,2952
64,3,1.0,0.7191297530380243,1.0,5256
64,4,1.0,0.6595362214632393,1.0,7560
128,1,0.7602386764307024,0.867894819713431,1.0,1200
128,2,0.7602386764307024,0.7578976315699013,1.0,2952
128,3,1.0,0.6619232039388754,1.0,5256
128,4,1.0,0.5959563196021191,1.0,7560
