trace_length,depth,accuracy,oracle_accuracy,reuse
1000,1,0.7533333333333333,0.7533333333333333,1.0
1000,2,0.7533333333333333,0.7533333333333333,1.0
1000,3,1.0,1.0,1.0
1000,4,1.0,1.0,1.0
10000,1,0.7523333333333333,0.7523333333333333,1.0
10000,2,0.7523333333333333,0.7523333333333333,1.0
10000,3,1.0,1.0,1.0
10000,4,1.0,1.0,1.0
100000,1,0.7525,0.7525,1.0
100000,2,0.7525,0.7525,1.0
100000,3,1.0,1.0,1.0
100000,4,1.0,1.0,1.0
1000000,1,0.7525,0.7525,1.0
1000000,2,0.7525,0.7525,1.0
1000000,3,1.0,1.0,1.0
1000000,4,1.0,1.0,1.0
