workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,predictor_latency,mode
LongHigherOrder,DirectWAM-H8,8,3360,7847,5.449305555555555,1.6829361539441825,1.0,0.5,5405,1.0,0,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,0,serial
LongHigherOrder,DirectWAM-H16,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,0,serial
LongHigherOrder,RecursiveWAM,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,0,serial
LongHigherOrder,Markov-N,16,3360,7694,5.343055555555556,1.7164023914738757,1.0,0.3181818181818182,5565,1.0,0,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,0,serial
LongHigherOrder,DirectWAM-H8,8,3360,9210,6.395833333333333,1.4338762214983714,1.0,0.5,5482,0.6353100783910655,1440,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,1,serial
LongHigherOrder,DirectWAM-H16,16,3360,9059,6.290972222222222,1.4577767965559112,1.0,0.3181818181818182,5640,0.638993953683088,1440,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,1,serial
LongHigherOrder,RecursiveWAM,16,3360,9059,6.290972222222222,1.4577767965559112,1.0,0.3181818181818182,5640,0.638993953683088,1440,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,1,serial
LongHigherOrder,Markov-N,16,3360,9059,6.290972222222222,1.4577767965559112,1.0,0.3181818181818182,5640,0.638993953683088,1440,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,1,serial
LongHigherOrder,DirectWAM-H8,8,3360,10573,7.342361111111111,1.2490305495129101,1.0,0.5,5559,0.36464689718749876,2880,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,2,serial
LongHigherOrder,DirectWAM-H16,16,3360,10424,7.238888888888889,1.2668841135840367,1.0,0.3181818181818182,5715,0.37253381166828353,2880,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,2,serial
LongHigherOrder,RecursiveWAM,16,3360,10424,7.238888888888889,1.2668841135840367,1.0,0.3181818181818182,5715,0.37253381166828353,2880,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,2,serial
LongHigherOrder,Markov-N,16,3360,10424,7.238888888888889,1.2668841135840367,1.0,0.3181818181818182,5715,0.37253381166828353,2880,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,2,serial
LongHigherOrder,DirectWAM-H8,8,3360,11936,8.28888888888889,1.1064008042895441,1.0,0.5,5636,0.1557990504310604,4320,0,0.0,0,0,0,0,1440,46,368,19728,1.6829361539441825,0.0,0.0,,,,3,serial
LongHigherOrder,DirectWAM-H16,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,3,serial
