workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,budget_bytes,accuracy_per_kb,speedup_per_kb
LongHigherOrder,BudgetedWAM,16,3360,15794,10.968055555555555,0.8361403064454856,0.5856741573033708,0.14285714285714285,1752,0.0,4320,0,0.0,0,0,0,0,1440,14,112,1056,1.7164023914738757,0.019736842105263157,1.1578947368421053,8,64,64,1024,0.5856741573033708,0.8361403064454856
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,1024,1.0,1.1201967936211723
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,1024,1.0,1.1201967936211723
LongHigherOrder,BudgetedWAM,16,3360,14634,10.1625,0.9024190241902419,0.7015449438202247,0.09090909090909091,2920,0.0,4320,0,0.0,0,0,0,0,1440,22,176,2080,1.7164023914738757,0.013157894736842105,0.5569620253164557,8,64,128,2048,0.35077247191011235,0.45120951209512095
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,2048,0.5,0.5600983968105862
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,2048,0.5,0.5600983968105862
LongHigherOrder,BudgetedWAM,16,3360,13518,9.3875,0.9769196626719929,0.7935393258426966,0.12903225806451613,4048,0.0,4320,0,0.0,0,0,0,0,1440,31,248,4128,1.7164023914738757,0.008373205741626795,0.29473684210526313,8,64,256,4096,0.19838483146067415,0.24422991566799823
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,4096,0.25,0.2800491984052931
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,4096,0.25,0.2800491984052931
LongHigherOrder,BudgetedWAM,16,3360,12434,8.634722222222223,1.0620878237091844,0.9178370786516854,0.20512820512820512,5140,0.0866661312805633,4320,0,0.0,0,0,0,0,1440,39,312,8224,1.7164023914738757,0.003289473684210526,0.09821428571428571,8,64,512,8192,0.11472963483146068,0.13276097796364805
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,8192,0.125,0.14002459920264654
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,8192,0.125,0.14002459920264654
LongHigherOrder,BudgetedWAM,16,3360,12288,8.533333333333333,1.07470703125,0.9339887640449438,0.175,5287,0.10428082337400217,4320,0,0.0,0,0,0,0,1440,40,320,16416,1.7164023914738757,0.0026913875598086126,0.07894736842105263,8,64,1024,16384,0.05837429775280899,0.067169189453125
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,16384,0.0625,0.07001229960132327
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,16384,0.0625,0.07001229960132327
LongHigherOrder,BudgetedWAM,16,3360,11929,8.284027777777778,1.107050046106128,0.9669943820224719,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,32800,1.7164023914738757,0.0014952153110047847,0.0423728813559322,8,64,2048,32768,0.030218574438202247,0.0345953139408165
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,32768,0.03125,0.035006149800661635
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,32768,0.03125,0.035006149800661635
LongHigherOrder,BudgetedWAM,16,3360,11929,8.284027777777778,1.107050046106128,0.9838483146067416,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,65568,1.7164023914738757,0.0008971291866028708,0.025,8,64,4096,65536,0.015372629915730338,0.01729765697040825
LongHigherOrder,Markov-N,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,2952,1.7164023914738757,0.0,0.0,,,,65536,0.015625,0.017503074900330817
LongHigherOrder,Stride,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,8208,1.7164023914738757,0.0,0.0,,,,65536,0.015625,0.017503074900330817
LongHigherOrder,BudgetedWAM,16,3360,11929,8.284027777777778,1.107050046106128,0.9915730337078652,0.20930232558139536,5649,0.14942725956831424,4320,0,0.0,0,0,0,0,1440,43,344,131104,1.7164023914738757,0.0002990430622009569,0.00819672131147541,8,64,8192,131072,0.007746664325842697,0.008648828485204124
