workload,system,horizon,criterion,maximum_predictor_latency,qualifying_points
LongHigherOrder,DirectWAM-H8,8,speedup_gt_1,3,4
LongHigherOrder,DirectWAM-H8,8,speedup_gt_105,3,4
LongHigherOrder,DirectWAM-H8,8,ideal_gain_50,1,2
LongHigherOrder,DirectWAM-H8,8,ideal_gain_75,0,1
LongHigherOrder,DirectWAM-H8,8,ideal_gain_90,0,1
LongHigherOrder,DirectWAM-H16,16,speedup_gt_1,4,5
LongHigherOrder,DirectWAM-H16,16,speedup_gt_105,3,4
LongHigherOrder,DirectWAM-H16,16,ideal_gain_50,1,2
LongHigherOrder,DirectWAM-H16,16,ideal_gain_75,0,1
LongHigherOrder,DirectWAM-H16,16,ideal_gain_90,0,1
LongHigherOrder,RecursiveWAM,16,speedup_gt_1,4,5
LongHigherOrder,RecursiveWAM,16,speedup_gt_105,3,4
LongHigherOrder,RecursiveWAM,16,ideal_gain_50,1,2
LongHigherOrder,RecursiveWAM,16,ideal_gain_75,0,1
LongHigherOrder,RecursiveWAM,16,ideal_gain_90,0,1
LongHigherOrder,Markov-N,16,speedup_gt_1,4,5
LongHigherOrder,Markov-N,16,speedup_gt_105,3,4
LongHigherOrder,Markov-N,16,ideal_gain_50,1,2
LongHigherOrder,Markov-N,16,ideal_gain_75,0,1
LongHigherOrder,Markov-N,16,ideal_gain_90,0,1
