workload,system,horizon,train_accesses,total_cycles,average_latency,speedup,accuracy,late_prefetch_rate,cycles_hidden,fraction_of_ideal_gain,predictor_overhead,predictor_queue_stalls,average_queue_wait,maximum_queue_wait,dropped_predictions,predictor_queue_depth,port_stalls,update_count,prefetches_issued,bandwidth_bytes,storage_bytes,ideal_speedup,collision_rate,aliasing_rate,counter_bits,signature_bits,table_size,update_latency,mode
LongHigherOrder,synchronous,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,0,synchronous
LongHigherOrder,deferred,16,3360,11789,8.186805555555555,1.1201967936211723,1.0,0.3181818181818182,5790,0.16777832549370458,4320,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,0,deferred
LongHigherOrder,synchronous,16,3360,13154,9.134722222222223,1.003953170138361,1.0,0.3181818181818182,5865,0.005518086183699188,5760,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,1,synchronous
LongHigherOrder,deferred,16,3360,13154,9.134722222222223,1.003953170138361,1.0,0.3181818181818182,5865,0.005518086183699188,5760,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,1,deferred
LongHigherOrder,synchronous,16,3360,14519,10.082638888888889,0.9095667745712515,1.0,0.3181818181818182,5940,0.0,7200,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,2,synchronous
LongHigherOrder,deferred,16,3360,14519,10.082638888888889,0.9095667745712515,1.0,0.3181818181818182,5940,0.0,7200,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,2,deferred
LongHigherOrder,synchronous,16,3360,17353,12.050694444444444,0.7610211490808506,1.0,0.06818181818181818,5986,0.0,10080,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,4,synchronous
LongHigherOrder,deferred,16,3360,17353,12.050694444444444,0.7610211490808506,1.0,0.06818181818181818,5986,0.0,10080,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,4,deferred
LongHigherOrder,synchronous,16,3360,23113,16.050694444444446,0.5713667632933846,1.0,0.06818181818181818,5986,0.0,15840,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,8,synchronous
LongHigherOrder,deferred,16,3360,23113,16.050694444444446,0.5713667632933846,1.0,0.06818181818181818,5986,0.0,15840,0,0.0,0,0,0,0,1440,44,352,42768,1.7164023914738757,0.0,0.0,,,,8,deferred
