dram_latency,system,horizon,speedup,accuracy,late_rate
80,Oracle,1,0.9928571428571429,1.0,1.0
80,DirectWAM,1,0.37516869095816463,1.0,1.0
80,RecursiveWAM,1,0.37516869095816463,1.0,1.0
80,Oracle,4,1.0723240115718418,1.0,0.0
80,DirectWAM,4,0.3859770912877473,1.0,0.0
80,RecursiveWAM,4,0.3859770912877473,1.0,0.0
80,Oracle,8,1.0723240115718418,1.0,0.6666666666666666
80,DirectWAM,8,0.38651372957942304,1.0,0.6666666666666666
80,RecursiveWAM,8,0.38651372957942304,1.0,0.6666666666666666
80,Oracle,16,1.0723240115718418,1.0,0.0
80,DirectWAM,16,0.3859770912877473,1.0,0.0
80,RecursiveWAM,16,0.3859770912877473,1.0,0.0
150,Oracle,1,0.9938223938223938,1.0,1.0
150,DirectWAM,1,0.4100031857279388,1.0,1.0
150,RecursiveWAM,1,0.4100031857279388,1.0,1.0
150,Oracle,4,1.1269702276707532,1.0,0.0
150,DirectWAM,4,0.4310113864701942,1.0,0.0
150,RecursiveWAM,4,0.4310113864701942,1.0,0.0
150,Oracle,8,1.1269702276707532,1.0,0.6666666666666666
150,DirectWAM,8,0.43158953722334004,1.0,0.6666666666666666
150,RecursiveWAM,8,0.43158953722334004,1.0,0.6666666666666666
150,Oracle,16,1.1269702276707532,1.0,0.0
150,DirectWAM,16,0.4310113864701942,1.0,0.0
150,RecursiveWAM,16,0.4310113864701942,1.0,0.0
300,Oracle,1,0.9952095808383233,1.0,1.0
300,DirectWAM,1,0.47296528173022195,1.0,1.0
300,RecursiveWAM,1,0.47296528173022195,1.0,1.0
300,Oracle,4,1.2158010241404535,1.0,0.0
300,DirectWAM,4,0.5175957645593273,1.0,0.0
300,RecursiveWAM,4,0.5175957645593273,1.0,0.0
300,Oracle,8,1.2158010241404535,1.0,0.6666666666666666
300,DirectWAM,8,0.5182413470533208,1.0,0.6666666666666666
300,RecursiveWAM,8,0.5182413470533208,1.0,0.6666666666666666
300,Oracle,16,1.2158010241404535,1.0,0.0
300,DirectWAM,16,0.5175957645593273,1.0,0.0
300,RecursiveWAM,16,0.5175957645593273,1.0,0.0
500,Oracle,1,0.9963133640552996,1.0,1.0
500,DirectWAM,1,0.5386148480318884,1.0,1.0
500,RecursiveWAM,1,0.5386148480318884,1.0,1.0
500,Oracle,4,1.2969406118776245,1.0,0.0
500,DirectWAM,4,0.6157789803474794,1.0,0.0
500,RecursiveWAM,4,0.6157789803474794,1.0,0.0
500,Oracle,8,1.2969406118776245,1.0,0.6666666666666666
500,DirectWAM,8,0.6164813230681494,1.0,0.6666666666666666
500,RecursiveWAM,8,0.6164813230681494,1.0,0.6666666666666666
500,Oracle,16,1.2969406118776245,1.0,0.0
500,DirectWAM,16,0.6157789803474794,1.0,0.0
500,RecursiveWAM,16,0.6157789803474794,1.0,0.0
