workload,horizon,potential_cycles_saved,wrong_prediction_cost,lateness_cost,bandwidth_cost,pollution_cost,predictor_overhead,net_saved
Sequential,1,90000,150,0,0,0,4800,-4800
Sequential,2,90000,150,0,0,0,4800,-4800
Sequential,4,90000,150,0,0,0,4800,-4800
Sequential,8,90000,150,0,0,0,4800,-4800
Sequential,16,90000,150,0,0,0,4800,-4800
Sequential,32,90000,150,0,0,0,4800,-4800
Stride,1,90000,150,0,0,0,4800,-4800
Stride,2,90000,150,0,0,0,4800,-4800
Stride,4,90000,150,0,0,0,4800,-4800
Stride,8,90000,150,0,0,0,4800,-4800
Stride,16,90000,150,0,0,0,4800,-4800
Stride,32,90000,150,0,0,0,4800,-4800
Repeating,1,1050,0,450,0,0,4803,-4803
Repeating,2,600,0,150,0,0,4802,-4647
Repeating,4,600,0,0,0,0,4800,-4800
Repeating,8,600,0,0,0,0,4800,-4800
Repeating,16,600,0,0,0,0,4800,-4800
Repeating,32,600,0,0,0,0,4800,-4800
Contextual,1,1350,0,600,0,0,4804,-4804
Contextual,2,750,0,300,0,0,4803,-4639
Contextual,4,900,0,150,0,0,4802,-4656
Contextual,8,750,0,300,0,0,4803,-4639
Contextual,16,900,0,150,0,0,4802,-4656
Contextual,32,750,0,300,0,0,4803,-4639
LongerDependency,1,1950,0,900,0,0,4806,-4806
LongerDependency,2,1050,0,450,0,0,4805,-4485
LongerDependency,4,1050,0,150,0,0,4803,-4478
LongerDependency,8,1050,0,0,0,0,4802,-4510
LongerDependency,16,1500,0,450,0,0,4804,-4658
LongerDependency,32,1050,0,450,0,0,4805,-4485
Probabilistic,1,900,112,450,0,0,4803,-4698
Probabilistic,2,600,74,150,0,0,4802,-4539
Probabilistic,4,900,112,450,0,0,4803,-4698
Probabilistic,8,600,74,150,0,0,4802,-4539
Probabilistic,16,900,112,450,0,0,4803,-4698
Probabilistic,32,600,74,150,0,0,4802,-4539
PhaseChanging,1,750,0,300,0,0,4802,-4802
PhaseChanging,2,450,0,0,0,0,4801,-4655
PhaseChanging,4,750,0,300,0,0,4802,-4802
PhaseChanging,8,450,0,0,0,0,4801,-4655
PhaseChanging,16,750,0,300,0,0,4802,-4802
PhaseChanging,32,450,0,0,0,0,4801,-4655
Random,1,69000,77400,0,0,13350,5316,-3418
Random,2,69000,80889,150,0,14550,5340,-4026
Random,4,69300,82350,0,0,13050,5349,-3013
Random,8,69300,78043,300,0,12600,5321,-2985
Random,16,69150,79131,150,0,14100,5329,-2689
Random,32,69150,76500,150,0,12150,5310,-2536
LongHigherOrder,1,14850,0,7350,0,0,4657,-4657
LongHigherOrder,2,7500,0,7050,0,0,4656,-936
LongHigherOrder,4,7500,0,3450,0,0,4654,-515
LongHigherOrder,8,7500,0,1950,0,0,4652,1087
LongHigherOrder,16,7500,0,0,0,0,4648,1192
LongHigherOrder,32,7500,0,0,0,0,4640,32
