workload,horizon,system,accuracy,top3_accuracy,coverage,storage_bytes
Sequential,1,DirectWAM,0.0,0.0,0.0,134160
Sequential,1,RecursiveWAM,0.0,0.0,0.0,134160
Sequential,1,DirectMarkov,0.0,0.0,0.0,33576
Sequential,2,DirectWAM,0.0,0.0,0.0,134064
Sequential,2,RecursiveWAM,0.0,0.0,0.0,134160
Sequential,2,DirectMarkov,0.0,0.0,0.0,33552
Sequential,4,DirectWAM,0.0,0.0,0.0,133872
Sequential,4,RecursiveWAM,0.0,0.0,0.0,134160
Sequential,4,DirectMarkov,0.0,0.0,0.0,33504
Sequential,8,DirectWAM,0.0,0.0,0.0,133488
Sequential,8,RecursiveWAM,0.0,0.0,0.0,134160
Sequential,8,DirectMarkov,0.0,0.0,0.0,33408
Sequential,16,DirectWAM,0.0,0.0,0.0,132720
Sequential,16,RecursiveWAM,0.0,0.0,0.0,134160
Sequential,16,DirectMarkov,0.0,0.0,0.0,33216
Sequential,32,DirectWAM,0.0,0.0,0.0,131184
Sequential,32,RecursiveWAM,0.0,0.0,0.0,134160
Sequential,32,DirectMarkov,0.0,0.0,0.0,32832
Stride,1,DirectWAM,0.0,0.0,0.0,134160
Stride,1,RecursiveWAM,0.0,0.0,0.0,134160
Stride,1,DirectMarkov,0.0,0.0,0.0,33576
Stride,2,DirectWAM,0.0,0.0,0.0,134064
Stride,2,RecursiveWAM,0.0,0.0,0.0,134160
Stride,2,DirectMarkov,0.0,0.0,0.0,33552
Stride,4,DirectWAM,0.0,0.0,0.0,133872
Stride,4,RecursiveWAM,0.0,0.0,0.0,134160
Stride,4,DirectMarkov,0.0,0.0,0.0,33504
Stride,8,DirectWAM,0.0,0.0,0.0,133488
Stride,8,RecursiveWAM,0.0,0.0,0.0,134160
Stride,8,DirectMarkov,0.0,0.0,0.0,33408
Stride,16,DirectWAM,0.0,0.0,0.0,132720
Stride,16,RecursiveWAM,0.0,0.0,0.0,134160
Stride,16,DirectMarkov,0.0,0.0,0.0,33216
Stride,32,DirectWAM,0.0,0.0,0.0,131184
Stride,32,RecursiveWAM,0.0,0.0,0.0,134160
Stride,32,DirectMarkov,0.0,0.0,0.0,32832
Repeating,1,DirectWAM,1.0,1.0,0.29964982491245623,384
Repeating,1,RecursiveWAM,1.0,1.0,0.29964982491245623,384
Repeating,1,DirectMarkov,1.0,1.0,0.29964982491245623,168
Repeating,2,DirectWAM,1.0,1.0,0.2992992992992993,384
Repeating,2,RecursiveWAM,1.0,1.0,0.2992992992992993,384
Repeating,2,DirectMarkov,1.0,1.0,0.2992992992992993,168
Repeating,4,DirectWAM,1.0,1.0,0.2985971943887776,384
Repeating,4,RecursiveWAM,1.0,1.0,0.2985971943887776,384
Repeating,4,DirectMarkov,1.0,1.0,0.2985971943887776,168
Repeating,8,DirectWAM,1.0,1.0,0.2971887550200803,384
Repeating,8,RecursiveWAM,1.0,1.0,0.2971887550200803,384
Repeating,8,DirectMarkov,1.0,1.0,0.2971887550200803,168
Repeating,16,DirectWAM,1.0,1.0,0.29435483870967744,384
Repeating,16,RecursiveWAM,1.0,1.0,0.29435483870967744,384
Repeating,16,DirectMarkov,1.0,1.0,0.29435483870967744,168
Repeating,32,DirectWAM,1.0,1.0,0.2886178861788618,384
Repeating,32,RecursiveWAM,1.0,1.0,0.2886178861788618,384
Repeating,32,DirectMarkov,1.0,1.0,0.2886178861788618,168
Contextual,1,DirectWAM,1.0,1.0,0.299949924887331,552
Contextual,1,RecursiveWAM,1.0,1.0,0.299949924887331,552
Contextual,1,DirectMarkov,1.0,1.0,0.299949924887331,216
Contextual,2,DirectWAM,1.0,1.0,0.2995991983967936,552
Contextual,2,RecursiveWAM,1.0,1.0,0.2995991983967936,552
Contextual,2,DirectMarkov,1.0,1.0,0.2995991983967936,216
Contextual,4,DirectWAM,1.0,1.0,0.29889669007021064,552
Contextual,4,RecursiveWAM,1.0,1.0,0.29889669007021064,552
Contextual,4,DirectMarkov,1.0,1.0,0.29889669007021064,216
Contextual,8,DirectWAM,1.0,1.0,0.2974874371859296,552
Contextual,8,RecursiveWAM,1.0,1.0,0.2974874371859296,552
Contextual,8,DirectMarkov,1.0,1.0,0.2974874371859296,216
Contextual,16,DirectWAM,1.0,1.0,0.2946518668012109,552
Contextual,16,RecursiveWAM,1.0,1.0,0.2946518668012109,552
Contextual,16,DirectMarkov,1.0,1.0,0.2946518668012109,216
Contextual,32,DirectWAM,1.0,1.0,0.28891149542217703,552
Contextual,32,RecursiveWAM,1.0,1.0,0.28891149542217703,552
Contextual,32,DirectMarkov,1.0,1.0,0.28891149542217703,216
LongerDependency,1,DirectWAM,1.0,1.0,0.29964982491245623,816
LongerDependency,1,RecursiveWAM,1.0,1.0,0.29964982491245623,816
LongerDependency,1,DirectMarkov,1.0,1.0,0.29964982491245623,312
LongerDependency,2,DirectWAM,1.0,1.0,0.2992992992992993,816
LongerDependency,2,RecursiveWAM,1.0,1.0,0.2992992992992993,816
LongerDependency,2,DirectMarkov,1.0,1.0,0.2992992992992993,312
LongerDependency,4,DirectWAM,1.0,1.0,0.2985971943887776,816
LongerDependency,4,RecursiveWAM,1.0,1.0,0.2985971943887776,816
LongerDependency,4,DirectMarkov,1.0,1.0,0.2985971943887776,312
