workload,system,configuration,horizon,trace_length,accuracy,top3_accuracy,prediction_attempts,total_cycles,average_latency,raw_memory_cycles,speedup,useful_prefetches,prefetches_issued,prefetches_completed,late_prefetches,late_rate,unused_prefetches,dropped_prefetches,pollution_misses,bandwidth_bytes,bandwidth_utilization,cycles_hidden,fully_hidden_misses,partially_hidden_misses,unhidden_misses,mean_lead_time,median_lead_time,mean_slack,median_slack,queue_occupancy,lookup_prefetch_overhead,storage_bytes,fraction_of_oracle_gain
Sequential,Oracle,Oracle-H1,1,2000,1.0,1.0,599,92396,153.99333333333334,2546,0.974068141477986,599,599,599,599,1.0,0,0,0,4792,1.0,0,0,0,600,1.0,1,-149.0,-149,0.0,599,0,0.0
Sequential,Oracle,Oracle-H2,2,2000,1.0,1.0,598,46347,77.245,2692,1.9418732604052042,598,598,598,299,0.5,0,0,0,4784,1.0,44251,299,299,2,78.00167224080268,150,-71.99832775919732,0,0.0,598,0,1.0
Sequential,Oracle,Oracle-H4,4,2000,1.0,1.0,596,23549,39.248333333333335,2984,3.821818336235084,596,596,596,151,0.2533557046979866,0,0,0,4768,1.0,67047,445,151,4,117.29026845637584,150,-32.70973154362416,0,0.0,596,0,1.0
Sequential,Oracle,Oracle-H8,8,2000,1.0,1.0,592,12603,21.005,3568,7.141156867412521,592,592,592,80,0.13513513513513514,0,0,0,4736,1.0,77989,512,80,8,141.2956081081081,150,-8.704391891891891,0,0.0,592,0,1.0
Sequential,Oracle,Oracle-H16,16,2000,1.0,1.0,584,27732,46.22,27220,3.2453483340545217,430,430,430,1,0.002325581395348837,0,154,0,3440,0.7363013698630136,62698,429,1,170,651.939534883721,366,501.9395348837209,216,0.0,430,0,1.0
Sequential,Oracle,Oracle-H32,32,2000,1.0,1.0,568,38398,63.99666666666667,38024,2.3438720766706598,356,356,356,1,0.0028089887640449437,0,212,0,2848,0.6267605633802817,51958,355,1,244,1762.758426966292,1462,1612.758426966292,1312,0.0,356,0,1.0
Stride,Oracle,Oracle-H1,1,2000,1.0,1.0,599,92396,153.99333333333334,2546,0.974068141477986,599,599,599,599,1.0,0,0,0,4792,1.0,0,0,0,600,1.0,1,-149.0,-149,0.0,599,0,0.0
Stride,Oracle,Oracle-H2,2,2000,1.0,1.0,598,46347,77.245,2692,1.9418732604052042,598,598,598,299,0.5,0,0,0,4784,1.0,44251,299,299,2,78.00167224080268,150,-71.99832775919732,0,0.0,598,0,1.0
Stride,Oracle,Oracle-H4,4,2000,1.0,1.0,596,23549,39.248333333333335,2984,3.821818336235084,596,596,596,151,0.2533557046979866,0,0,0,4768,1.0,67047,445,151,4,117.29026845637584,150,-32.70973154362416,0,0.0,596,0,1.0
Stride,Oracle,Oracle-H8,8,2000,1.0,1.0,592,12603,21.005,3568,7.141156867412521,592,592,592,80,0.13513513513513514,0,0,0,4736,1.0,77989,512,80,8,141.2956081081081,150,-8.704391891891891,0,0.0,592,0,1.0
Stride,Oracle,Oracle-H16,16,2000,1.0,1.0,584,27732,46.22,27220,3.2453483340545217,430,430,430,1,0.002325581395348837,0,154,0,3440,0.7363013698630136,62698,429,1,170,651.939534883721,366,501.9395348837209,216,0.0,430,0,1.0
Stride,Oracle,Oracle-H32,32,2000,1.0,1.0,568,38398,63.99666666666667,38024,2.3438720766706598,356,356,356,1,0.0028089887640449437,0,212,0,2848,0.6267605633802817,51958,355,1,244,1762.758426966292,1462,1612.758426966292,1312,0.0,356,0,1.0
Repeating,Oracle,Oracle-H1,1,2000,1.0,1.0,599,2996,4.993333333333333,2546,0.9959946595460614,3,3,3,3,1.0,0,0,0,24,1.0,0,0,0,4,1.0,1,-149.0,-149,0.0,3,0,0.0
Repeating,Oracle,Oracle-H2,2,2000,1.0,1.0,598,2839,4.7316666666666665,2692,1.0510743219443466,2,2,2,1,0.5,0,0,0,16,1.0,147,1,1,2,78.5,152,-71.5,2,0.0,2,0,1.0
Repeating,Oracle,Oracle-H4,4,2000,1.0,1.0,596,2984,4.973333333333334,2984,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Repeating,Oracle,Oracle-H8,8,2000,1.0,1.0,592,2984,4.973333333333334,2984,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Repeating,Oracle,Oracle-H16,16,2000,1.0,1.0,584,2984,4.973333333333334,2984,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Repeating,Oracle,Oracle-H32,32,2000,1.0,1.0,568,2984,4.973333333333334,2984,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Contextual,Oracle,Oracle-H1,1,1998,1.0,1.0,599,3146,5.243333333333333,2546,0.9949141767323586,4,4,4,4,1.0,0,0,0,32,1.0,0,0,0,5,1.0,1,-149.0,-149,0.0,4,0,0.0
Contextual,Oracle,Oracle-H2,2,1998,1.0,1.0,598,2985,4.975,2692,1.04857621440536,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,148,1,2,2,54.0,5,-96.0,-145,0.0,3,0,1.0
Contextual,Oracle,Oracle-H4,4,1998,1.0,1.0,596,2989,4.9816666666666665,2838,1.0471729675476749,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,153.0,305,3.0,155,0.0,2,0,1.0
Contextual,Oracle,Oracle-H8,8,1998,1.0,1.0,592,2985,4.975,2692,1.04857621440536,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,148,1,2,2,54.0,5,-96.0,-145,0.0,3,0,1.0
Contextual,Oracle,Oracle-H16,16,1998,1.0,1.0,584,2989,4.9816666666666665,2838,1.0471729675476749,2,2,2,1,0.5,0,0,0,16,1.0,146,1,0,4,153.0,305,3.0,155,0.0,2,0,1.0
Contextual,Oracle,Oracle-H32,32,1998,1.0,1.0,568,2985,4.975,2692,1.04857621440536,3,3,3,2,0.6666666666666666,0,0,0,24,1.0,148,1,2,2,54.0,5,-96.0,-145,0.0,3,0,1.0
LongerDependency,Oracle,Oracle-H1,1,2000,1.0,1.0,599,3446,5.743333333333333,2546,0.9930354033662218,6,6,6,6,1.0,0,0,0,48,1.0,0,0,0,7,1.0,1,-149.0,-149,0.0,6,0,0.0
LongerDependency,Oracle,Oracle-H2,2,2000,1.0,1.0,598,3131,5.218333333333334,2692,1.092941552219738,5,5,5,3,0.6,0,0,0,40,1.0,296,2,3,2,63.6,6,-86.4,-144,0.0,5,0,1.0
LongerDependency,Oracle,Oracle-H4,4,2000,1.0,1.0,596,3124,5.206666666666667,2984,1.0953905249679898,3,3,3,1,0.3333333333333333,0,0,0,24,1.0,301,2,1,4,256.6666666666667,305,106.66666666666667,155,0.0,3,0,1.0
LongerDependency,Oracle,Oracle-H8,8,2000,1.0,1.0,592,3132,5.22,3130,1.0925925925925926,2,2,2,0,0.0,0,0,0,16,1.0,292,2,0,5,384.5,467,234.5,317,0.0,2,0,1.0
