workload,system,configuration,horizon,trace_length,accuracy,top3_accuracy,prediction_attempts,total_cycles,average_latency,raw_memory_cycles,speedup,useful_prefetches,prefetches_issued,prefetches_completed,late_prefetches,late_rate,unused_prefetches,dropped_prefetches,pollution_misses,bandwidth_bytes,bandwidth_utilization,cycles_hidden,fully_hidden_misses,partially_hidden_misses,unhidden_misses,mean_lead_time,median_lead_time,mean_slack,median_slack,queue_occupancy,lookup_prefetch_overhead,storage_bytes,fraction_of_oracle_gain
Sequential,Oracle,Oracle-H1,1,2000,1.0,1.0,599,92396,153.99333333333334,2546,0.974068141477986,599,599,599,599,1.0,0,0,0,4792,1.0,0,0,0,600,1.0,1,-149.0,-149,0.0,599,0,0.0
Sequential,DirectWAM,DirectWAM-H1,1,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,0.0
Sequential,RecursiveWAM,RecursiveWAM-H1,1,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,0.0
Sequential,DirectMarkov,DirectMarkov-H1,1,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33576,0.0
Sequential,Oracle,Oracle-H2,2,2000,1.0,1.0,598,46347,77.245,2692,1.9418732604052042,598,598,598,299,0.5,0,0,0,4784,1.0,44251,299,299,2,78.00167224080268,150,-71.99832775919732,0,0.0,598,0,1.0
Sequential,DirectWAM,DirectWAM-H2,2,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134064,-0.05375766944548598
Sequential,RecursiveWAM,RecursiveWAM-H2,2,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.05375766944548598
Sequential,DirectMarkov,DirectMarkov-H2,2,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33552,-0.05375766944548598
Sequential,Oracle,Oracle-H4,4,2000,1.0,1.0,596,23549,39.248333333333335,2984,3.821818336235084,596,596,596,151,0.2533557046979866,0,0,0,4768,1.0,67047,445,151,4,117.29026845637584,150,-32.70973154362416,0,0.0,596,0,1.0
Sequential,DirectWAM,DirectWAM-H4,4,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,133872,-0.017943363235763916
Sequential,RecursiveWAM,RecursiveWAM-H4,4,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.017943363235763916
Sequential,DirectMarkov,DirectMarkov-H4,4,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33504,-0.017943363235763916
Sequential,Oracle,Oracle-H8,8,2000,1.0,1.0,592,12603,21.005,3568,7.141156867412521,592,592,592,80,0.13513513513513514,0,0,0,4736,1.0,77989,512,80,8,141.2956081081081,150,-8.704391891891891,0,0.0,592,0,1.0
Sequential,DirectWAM,DirectWAM-H8,8,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,133488,-0.008244849054594902
Sequential,RecursiveWAM,RecursiveWAM-H8,8,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.008244849054594902
Sequential,DirectMarkov,DirectMarkov-H8,8,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33408,-0.008244849054594902
Sequential,Oracle,Oracle-H16,16,2000,1.0,1.0,584,27732,46.22,27220,3.2453483340545217,430,430,430,1,0.002325581395348837,0,154,0,3440,0.7363013698630136,62698,429,1,170,651.939534883721,366,501.9395348837209,216,0.0,430,0,1.0
Sequential,DirectWAM,DirectWAM-H16,16,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,132720,-0.022550136486384317
Sequential,RecursiveWAM,RecursiveWAM-H16,16,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.022550136486384317
Sequential,DirectMarkov,DirectMarkov-H16,16,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33216,-0.022550136486384317
Sequential,Oracle,Oracle-H32,32,2000,1.0,1.0,568,38398,63.99666666666667,38024,2.3438720766706598,356,356,356,1,0.0028089887640449437,0,212,0,2848,0.6267605633802817,51958,355,1,244,1762.758426966292,1462,1612.758426966292,1312,0.0,356,0,1.0
Sequential,DirectWAM,DirectWAM-H32,32,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,131184,-0.03767688329222844
Sequential,RecursiveWAM,RecursiveWAM-H32,32,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.03767688329222844
Sequential,DirectMarkov,DirectMarkov-H32,32,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,32832,-0.03767688329222844
Stride,Oracle,Oracle-H1,1,2000,1.0,1.0,599,92396,153.99333333333334,2546,0.974068141477986,599,599,599,599,1.0,0,0,0,4792,1.0,0,0,0,600,1.0,1,-149.0,-149,0.0,599,0,0.0
Stride,DirectWAM,DirectWAM-H1,1,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,0.0
Stride,RecursiveWAM,RecursiveWAM-H1,1,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,0.0
Stride,DirectMarkov,DirectMarkov-H1,1,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33576,0.0
Stride,Oracle,Oracle-H2,2,2000,1.0,1.0,598,46347,77.245,2692,1.9418732604052042,598,598,598,299,0.5,0,0,0,4784,1.0,44251,299,299,2,78.00167224080268,150,-71.99832775919732,0,0.0,598,0,1.0
Stride,DirectWAM,DirectWAM-H2,2,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134064,-0.05375766944548598
Stride,RecursiveWAM,RecursiveWAM-H2,2,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.05375766944548598
Stride,DirectMarkov,DirectMarkov-H2,2,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33552,-0.05375766944548598
Stride,Oracle,Oracle-H4,4,2000,1.0,1.0,596,23549,39.248333333333335,2984,3.821818336235084,596,596,596,151,0.2533557046979866,0,0,0,4768,1.0,67047,445,151,4,117.29026845637584,150,-32.70973154362416,0,0.0,596,0,1.0
Stride,DirectWAM,DirectWAM-H4,4,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,133872,-0.017943363235763916
Stride,RecursiveWAM,RecursiveWAM-H4,4,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.017943363235763916
Stride,DirectMarkov,DirectMarkov-H4,4,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33504,-0.017943363235763916
Stride,Oracle,Oracle-H8,8,2000,1.0,1.0,592,12603,21.005,3568,7.141156867412521,592,592,592,80,0.13513513513513514,0,0,0,4736,1.0,77989,512,80,8,141.2956081081081,150,-8.704391891891891,0,0.0,592,0,1.0
Stride,DirectWAM,DirectWAM-H8,8,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,133488,-0.008244849054594902
Stride,RecursiveWAM,RecursiveWAM-H8,8,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.008244849054594902
Stride,DirectMarkov,DirectMarkov-H8,8,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33408,-0.008244849054594902
Stride,Oracle,Oracle-H16,16,2000,1.0,1.0,584,27732,46.22,27220,3.2453483340545217,430,430,430,1,0.002325581395348837,0,154,0,3440,0.7363013698630136,62698,429,1,170,651.939534883721,366,501.9395348837209,216,0.0,430,0,1.0
Stride,DirectWAM,DirectWAM-H16,16,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,132720,-0.022550136486384317
Stride,RecursiveWAM,RecursiveWAM-H16,16,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.022550136486384317
Stride,DirectMarkov,DirectMarkov-H16,16,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,33216,-0.022550136486384317
Stride,Oracle,Oracle-H32,32,2000,1.0,1.0,568,38398,63.99666666666667,38024,2.3438720766706598,356,356,356,1,0.0028089887640449437,0,212,0,2848,0.6267605633802817,51958,355,1,244,1762.758426966292,1462,1612.758426966292,1312,0.0,356,0,1.0
Stride,DirectWAM,DirectWAM-H32,32,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,131184,-0.03767688329222844
Stride,RecursiveWAM,RecursiveWAM-H32,32,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,134160,-0.03767688329222844
Stride,DirectMarkov,DirectMarkov-H32,32,2000,0.0,0.0,0,94800,158.0,90000,0.9493670886075949,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,600,0.0,0.0,0.0,0.0,0.0,4800,32832,-0.03767688329222844
Repeating,Oracle,Oracle-H1,1,2000,1.0,1.0,599,2996,4.993333333333333,2546,0.9959946595460614,3,3,3,3,1.0,0,0,0,24,1.0,0,0,0,4,1.0,1,-149.0,-149,0.0,3,0,0.0
Repeating,DirectWAM,DirectWAM-H1,1,2000,1.0,1.0,599,7796,12.993333333333334,2546,0.3827603899435608,3,3,3,3,1.0,0,0,0,24,1.0,0,0,0,4,1.0,1,-149.0,-149,0.0,4803,384,0.0
Repeating,RecursiveWAM,RecursiveWAM-H1,1,2000,1.0,1.0,599,7796,12.993333333333334,2546,0.3827603899435608,3,3,3,3,1.0,0,0,0,24,1.0,0,0,0,4,1.0,1,-149.0,-149,0.0,4803,384,0.0
Repeating,DirectMarkov,DirectMarkov-H1,1,2000,1.0,1.0,599,7796,12.993333333333334,2546,0.3827603899435608,3,3,3,3,1.0,0,0,0,24,1.0,0,0,0,4,1.0,1,-149.0,-149,0.0,4803,168,0.0
Repeating,Oracle,Oracle-H2,2,2000,1.0,1.0,598,2839,4.7316666666666665,2692,1.0510743219443466,2,2,2,1,0.5,0,0,0,16,1.0,147,1,1,2,78.5,152,-71.5,2,0.0,2,0,1.0
Repeating,DirectWAM,DirectWAM-H2,2,2000,1.0,1.0,598,7631,12.718333333333334,2692,0.3910365613943127,2,2,2,1,0.5,0,0,0,16,1.0,155,1,1,2,86.5,160,-63.5,10,0.0,4802,384,-11.923084153114116
Repeating,RecursiveWAM,RecursiveWAM-H2,2,2000,1.0,1.0,598,7631,12.718333333333334,2692,0.3910365613943127,2,2,2,1,0.5,0,0,0,16,1.0,155,1,1,2,86.5,160,-63.5,10,0.0,4802,384,-11.923084153114116
Repeating,DirectMarkov,DirectMarkov-H2,2,2000,1.0,1.0,598,7631,12.718333333333334,2692,0.3910365613943127,2,2,2,1,0.5,0,0,0,16,1.0,155,1,1,2,86.5,160,-63.5,10,0.0,4802,168,-11.923084153114116
Repeating,Oracle,Oracle-H4,4,2000,1.0,1.0,596,2984,4.973333333333334,2984,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Repeating,DirectWAM,DirectWAM-H4,4,2000,1.0,1.0,596,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,384,0.0
Repeating,RecursiveWAM,RecursiveWAM-H4,4,2000,1.0,1.0,596,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,384,0.0
Repeating,DirectMarkov,DirectMarkov-H4,4,2000,1.0,1.0,596,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,168,0.0
Repeating,Oracle,Oracle-H8,8,2000,1.0,1.0,592,2984,4.973333333333334,2984,1.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Repeating,DirectWAM,DirectWAM-H8,8,2000,1.0,1.0,592,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,384,0.0
Repeating,RecursiveWAM,RecursiveWAM-H8,8,2000,1.0,1.0,592,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,384,0.0
Repeating,DirectMarkov,DirectMarkov-H8,8,2000,1.0,1.0,592,7784,12.973333333333333,2984,0.38335046248715315,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4800,168,0.0
