workload,system,horizon,mean_lead_time,median_lead_time,mean_slack,median_slack,late_rate,cycles_hidden,fully_hidden,partially_hidden,unhidden
Sequential,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,600
Sequential,DirectWAM,1,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,RecursiveWAM,1,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,DirectMarkov,1,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,Oracle,2,78.00167224080268,150,-71.99832775919732,0,0.5,44251,299,299,2
Sequential,DirectWAM,2,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,RecursiveWAM,2,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,DirectMarkov,2,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,Oracle,4,117.29026845637584,150,-32.70973154362416,0,0.2533557046979866,67047,445,151,4
Sequential,DirectWAM,4,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,RecursiveWAM,4,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,DirectMarkov,4,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,Oracle,8,141.2956081081081,150,-8.704391891891891,0,0.13513513513513514,77989,512,80,8
Sequential,DirectWAM,8,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,RecursiveWAM,8,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,DirectMarkov,8,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,Oracle,16,651.939534883721,366,501.9395348837209,216,0.002325581395348837,62698,429,1,170
Sequential,DirectWAM,16,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,RecursiveWAM,16,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,DirectMarkov,16,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,Oracle,32,1762.758426966292,1462,1612.758426966292,1312,0.0028089887640449437,51958,355,1,244
Sequential,DirectWAM,32,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,RecursiveWAM,32,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Sequential,DirectMarkov,32,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,Oracle,1,1.0,1,-149.0,-149,1.0,0,0,0,600
Stride,DirectWAM,1,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,RecursiveWAM,1,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,DirectMarkov,1,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,Oracle,2,78.00167224080268,150,-71.99832775919732,0,0.5,44251,299,299,2
Stride,DirectWAM,2,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,RecursiveWAM,2,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,DirectMarkov,2,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,Oracle,4,117.29026845637584,150,-32.70973154362416,0,0.2533557046979866,67047,445,151,4
Stride,DirectWAM,4,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,RecursiveWAM,4,0.0,0.0,0.0,0.0,0.0,0,0,0,600
Stride,DirectMarkov,4,0.0,0.0,0.0,0.0,0.0,0,0,0,600
