workload,total_budget,gmc_bytes,wam_bytes,selector_bytes,actual_gmc_storage,actual_wam_storage,speedup,winner,within_budget
binary_tree_size65536_seed0_loads,8192,6000,2000,192,6000,2000,1.2899983246775004,GMC-style,True
binary_tree_size65536_seed0_loads,8192,4000,4000,192,4000,4000,1.3241616509028376,WAM,True
binary_tree_size65536_seed0_loads,8192,2000,6000,192,2000,6000,1.3580246913580247,WAM,True
binary_tree_size65536_seed0_loads,16384,12144,4048,192,12144,4048,1.2899983246775004,GMC-style,True
binary_tree_size65536_seed0_loads,16384,8096,8096,192,8096,8096,1.2899983246775004,GMC-style,True
binary_tree_size65536_seed0_loads,16384,4048,12144,192,4048,12144,1.2919463087248322,WAM,True
binary_tree_size65536_seed0_loads,32768,24432,8144,192,24432,8144,1.301995265471762,GMC-style,True
binary_tree_size65536_seed0_loads,32768,16288,16288,192,16288,16288,1.3241616509028376,WAM,True
binary_tree_size65536_seed0_loads,32768,8144,24432,192,8144,24432,1.2919463087248322,WAM,True
binary_tree_size65536_seed0_loads,65536,49008,16336,192,49008,16336,1.2919463087248322,WAM,True
binary_tree_size65536_seed0_loads,65536,32672,32672,192,32672,32672,1.3370376801528043,WAM,True
binary_tree_size65536_seed0_loads,65536,16336,49008,192,16336,49008,1.2919463087248322,WAM,True
graph_bfs_size65536_seed0_loads,8192,6000,2000,192,6000,2000,1.0630728600279633,GMC-style,True
graph_bfs_size65536_seed0_loads,8192,4000,4000,192,4000,4000,1.0170927467300832,GMC-style,True
graph_bfs_size65536_seed0_loads,8192,2000,6000,192,2000,6000,0.9962873989954139,GMC-style,True
graph_bfs_size65536_seed0_loads,16384,12144,4048,192,12144,4048,1.0629902912621358,GMC-style,True
graph_bfs_size65536_seed0_loads,16384,8096,8096,192,8096,8096,1.0629902912621358,GMC-style,True
graph_bfs_size65536_seed0_loads,16384,4048,12144,192,4048,12144,1.0170927467300832,GMC-style,True
graph_bfs_size65536_seed0_loads,32768,24432,8144,192,24432,8144,1.1004261477848356,GMC-style,True
graph_bfs_size65536_seed0_loads,32768,16288,16288,192,16288,16288,1.1004261477848356,GMC-style,True
graph_bfs_size65536_seed0_loads,32768,8144,24432,192,8144,24432,1.0876579512040054,GMC-style,True
graph_bfs_size65536_seed0_loads,65536,49008,16336,192,49008,16336,1.1004261477848356,GMC-style,True
graph_bfs_size65536_seed0_loads,65536,32672,32672,192,32672,32672,1.1136788998291154,GMC-style,True
graph_bfs_size65536_seed0_loads,65536,16336,49008,192,16336,49008,1.1268834911486207,GMC-style,True
graph_dfs_size16384_seed0_loads,8192,6000,2000,192,6000,2000,1.0,WAM,True
graph_dfs_size16384_seed0_loads,8192,4000,4000,192,4000,4000,0.9998594913587185,GMC-style,True
graph_dfs_size16384_seed0_loads,8192,2000,6000,192,2000,6000,1.041111923920995,WAM,True
graph_dfs_size16384_seed0_loads,16384,12144,4048,192,12144,4048,1.0200688073394495,WAM,True
graph_dfs_size16384_seed0_loads,16384,8096,8096,192,8096,8096,1.0178801315977686,WAM,True
graph_dfs_size16384_seed0_loads,16384,4048,12144,192,4048,12144,1.0814589665653496,WAM,True
