workload,windows,fraction_gmc_wins,fraction_wam_wins,fraction_tied,mean_wam_advantage_when_wam_wins,mean_gmc_advantage_when_gmc_wins,oracle_incremental_gain_over_gmc,wam_gain_attributed_fraction
binary_tree_size65536_seed0_loads,3,0.0,1.0,0.0,0.09893383630445925,0.0,0.08472722850650283,1.0
binary_tree_size65536_seed1_loads,3,0.0,1.0,0.0,0.09893383630445925,0.0,0.08472722850650283,1.0
binary_tree_size65536_seed2_loads,3,0.0,1.0,0.0,0.05256738659181718,0.0,0.051129161790806954,1.0
binary_tree_size65536_seed3_loads,3,0.0,1.0,0.0,0.017627889744748715,0.0,0.017091631578595168,1.0
binary_tree_size65536_seed4_loads,3,0.3333333333333333,0.6666666666666666,0.0,0.10661469678231983,0.029084864558055923,0.06903128935881231,1.0
graph_bfs_size65536_seed0_loads,3,1.0,0.0,0.0,0.0,0.05272627894199511,0.0,0.0
graph_bfs_size65536_seed1_loads,3,1.0,0.0,0.0,0.0,0.05272627894199511,0.0,0.0
graph_bfs_size65536_seed2_loads,3,1.0,0.0,0.0,0.0,0.05272627894199511,0.0,0.0
graph_bfs_size65536_seed3_loads,3,1.0,0.0,0.0,0.0,0.05272627894199511,0.0,0.0
graph_bfs_size65536_seed4_loads,3,1.0,0.0,0.0,0.0,0.05272627894199511,0.0,0.0
graph_dfs_size16384_seed0_loads,3,0.0,1.0,0.0,0.04269305404198964,0.0,0.042556019394188294,1.0
graph_dfs_size16384_seed1_loads,3,0.0,1.0,0.0,0.04269305404198964,0.0,0.042556019394188294,1.0
graph_dfs_size16384_seed2_loads,3,0.0,1.0,0.0,0.04269305404198964,0.0,0.042556019394188294,1.0
graph_dfs_size16384_seed3_loads,3,0.0,1.0,0.0,0.04269305404198964,0.0,0.042556019394188294,1.0
graph_dfs_size16384_seed4_loads,3,0.0,1.0,0.0,0.04269305404198964,0.0,0.042556019394188294,1.0
hash_table_size65536_seed0_loads,3,0.6666666666666666,0.3333333333333333,0.0,0.000911898546293588,0.0006411343567486738,0.0003040018580660053,1.0
hash_table_size65536_seed1_loads,3,0.6666666666666666,0.3333333333333333,0.0,0.000911898546293588,0.0006411343567486738,0.0003040018580660053,1.0
hash_table_size65536_seed2_loads,3,1.0,0.0,0.0,0.0,0.00042481046684746576,0.0,0.0
hash_table_size65536_seed3_loads,3,0.6666666666666666,0.3333333333333333,0.0,0.000293603924961805,0.0016289440902583219,9.794243624861032e-05,1.0
hash_table_size65536_seed4_loads,3,1.0,0.0,0.0,0.0,0.0004861396910223285,0.0,0.0
linked_list_size65536_seed0_loads,3,1.0,0.0,0.0,0.0,3.018255779343189,0.0,0.0
linked_list_size65536_seed1_loads,3,1.0,0.0,0.0,0.0,3.018255779343189,0.0,0.0
linked_list_size65536_seed2_loads,3,1.0,0.0,0.0,0.0,3.018255779343189,0.0,0.0
linked_list_size65536_seed3_loads,3,1.0,0.0,0.0,0.0,3.018255779343189,0.0,0.0
linked_list_size65536_seed4_loads,3,1.0,0.0,0.0,0.0,3.018255779343189,0.0,0.0
matrix_scan_size512_seed0_loads,3,1.0,0.0,0.0,0.0,1.2741210139002455,0.0,0.0
pointer_chase_size65536_seed0_loads,3,0.0,1.0,0.0,0.20892081472581644,0.0,0.18636107280227,1.0
pointer_chase_size65536_seed1_loads,3,0.0,1.0,0.0,0.20892081472581644,0.0,0.18636107280227,1.0
pointer_chase_size65536_seed2_loads,3,0.0,1.0,0.0,0.41204018589877633,0.0,0.38259444975228707,1.0
pointer_chase_size65536_seed3_loads,3,0.0,0.6666666666666666,0.3333333333333333,0.011604892726694738,0.0,0.005787834721443952,1.0
pointer_chase_size65536_seed4_loads,3,0.0,1.0,0.0,1.3537179478365853,0.0,1.2950384250623257,1.0
quicksort_size65536_seed0_loads,3,1.0,0.0,0.0,0.0,0.027922094169866723,0.0,0.0
quicksort_size65536_seed1_loads,3,1.0,0.0,0.0,0.0,0.027922094169866723,0.0,0.0
quicksort_size65536_seed2_loads,3,1.0,0.0,0.0,0.0,0.9684865670830981,0.0,0.0
quicksort_size65536_seed3_loads,3,1.0,0.0,0.0,0.0,0.4192572078148564,0.0,0.0
quicksort_size65536_seed4_loads,3,1.0,0.0,0.0,0.0,0.2215916958381244,0.0,0.0
stride_size524288_seed0_loads,3,1.0,0.0,0.0,0.0,6.217171243790421,0.0,0.0
