workload,category,window,window_index,agreement_rate,disagreement_rate,only_gmc_rate,only_wam_rate,wam_wins_disagreements,gmc_wins_disagreements,both_wrong_disagreements,joint_predictions
binary_tree_size65536_seed0_loads,tree,100,0,0.640625,0.359375,0.0,0.2,0,0,58,64
binary_tree_size65536_seed0_loads,tree,100,1,0.723404255319149,0.2765957446808511,0.0,0.37,0,0,41,47
binary_tree_size65536_seed0_loads,tree,100,2,0.7192982456140351,0.2807017543859649,0.0,0.27,0,0,50,57
binary_tree_size65536_seed0_loads,tree,500,0,0.6761904761904762,0.3238095238095238,0.0,0.338,0,0,275,315
binary_tree_size65536_seed0_loads,tree,500,1,0.7132616487455197,0.2867383512544803,0.0,0.41,0,0,245,279
binary_tree_size65536_seed0_loads,tree,500,2,0.709375,0.290625,0.0,0.328,0,0,279,320
binary_tree_size65536_seed0_loads,tree,1000,0,0.703875968992248,0.2961240310077519,0.0,0.339,0,0,564,645
binary_tree_size65536_seed0_loads,tree,1000,1,0.7032040472175379,0.29679595278246207,0.0,0.391,0,0,518,593
binary_tree_size65536_seed0_loads,tree,1000,2,0.7214983713355049,0.2785016286644951,0.0,0.37,0,0,536,614
binary_tree_size65536_seed1_loads,tree,100,0,0.640625,0.359375,0.0,0.2,0,0,58,64
binary_tree_size65536_seed1_loads,tree,100,1,0.723404255319149,0.2765957446808511,0.0,0.37,0,0,41,47
binary_tree_size65536_seed1_loads,tree,100,2,0.7192982456140351,0.2807017543859649,0.0,0.27,0,0,50,57
binary_tree_size65536_seed1_loads,tree,500,0,0.6761904761904762,0.3238095238095238,0.0,0.338,0,0,275,315
binary_tree_size65536_seed1_loads,tree,500,1,0.7132616487455197,0.2867383512544803,0.0,0.41,0,0,245,279
binary_tree_size65536_seed1_loads,tree,500,2,0.709375,0.290625,0.0,0.328,0,0,279,320
binary_tree_size65536_seed1_loads,tree,1000,0,0.703875968992248,0.2961240310077519,0.0,0.339,0,0,564,645
binary_tree_size65536_seed1_loads,tree,1000,1,0.7032040472175379,0.29679595278246207,0.0,0.391,0,0,518,593
binary_tree_size65536_seed1_loads,tree,1000,2,0.7214983713355049,0.2785016286644951,0.0,0.37,0,0,536,614
binary_tree_size65536_seed2_loads,tree,100,0,0.5652173913043478,0.43478260869565216,0.0,0.38,0,0,40,46
binary_tree_size65536_seed2_loads,tree,100,1,0.5,0.5,0.0,0.42,0,0,36,42
binary_tree_size65536_seed2_loads,tree,100,2,0.47058823529411764,0.5294117647058824,0.0,0.33,0,0,45,51
binary_tree_size65536_seed2_loads,tree,500,0,0.5454545454545454,0.45454545454545453,0.0,0.418,0,0,238,275
binary_tree_size65536_seed2_loads,tree,500,1,0.5236363636363637,0.4763636363636364,0.0,0.418,0,0,241,275
