feature,wam_win_mean,gmc_win_mean,tie_mean,effect_size,simple_threshold,threshold_accuracy,wam_win_windows,gmc_win_windows,top_signal
wam_confidence,0.689669760488321,0.15344226334006042,0.62,1.566589809046078,0.4215560119141907,0.8841463414634146,150,178,1.566589809046078
stride_stability,0.09949974987493747,0.49822945180455397,0.13876938469234618,-1.2803291995703203,0.2988646008397457,0.1676829268292683,150,178,1.2803291995703203
entropy_reduction,0.23300576958228045,0.7001319406009398,0.5829264496117195,-1.0078229666482648,0.4665688550916101,0.38109756097560976,150,178,1.0078229666482648
gmc_accuracy,0.019772911247412355,0.28038195652143433,0.0,-0.916000335814012,0.15007743388442335,0.3231707317073171,150,178,0.916000335814012
context_reuse_depth16,0.24954420057124424,0.013647598862873013,0.604,0.9040650844300069,0.13159589971705862,0.7073170731707317,150,178,0.9040650844300069
delta_entropy,7.051740114653557,4.435200701387194,5.592189388814748,0.8159064245442031,5.743470408020375,0.6829268292682927,150,178,0.8159064245442031
sequential_fraction,0.02584676374923536,0.10569456689787239,0.00808080808080808,-0.7205239068816809,0.06577066532355387,0.42073170731707316,150,178,0.7205239068816809
h16_oracle_accuracy,0.033816359544810104,0.003401133584652474,0.0,0.6987541423323053,0.01860874656473129,0.649390243902439,150,178,0.6987541423323053
wam_accuracy,0.032700828366016836,0.003427038551854815,0.0,0.6940644513158275,0.018063933458935824,0.649390243902439,150,178,0.6940644513158275
gmc_confidence,0.2938326704014939,0.5073687261650347,0.6234666666666666,-0.607800364164912,0.4006006982832643,0.3932926829268293,150,178,0.607800364164912
unique_lines,141.14,268.47752808988764,22.8,-0.5183898882802137,204.8087640449438,0.40853658536585363,150,178,0.5183898882802137
