workload,selector,granularity,windows,speedup,selected_gmc_fraction,selected_wam_fraction,selector_bytes,lookup_cycles,update_traffic,overhead_cycles,wam_activation_rate,selection_note
binary_tree_size65536_seed0_loads,ConfidenceSelector,per_access,3,1.1163895486935866,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed1_loads,ConfidenceSelector,per_access,3,1.1163895486935866,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed2_loads,ConfidenceSelector,per_access,3,1.077332607935336,0.0,1.0,192,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed3_loads,ConfidenceSelector,per_access,3,1.0174827472888597,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
binary_tree_size65536_seed4_loads,ConfidenceSelector,per_access,3,1.0950088783347238,0.0,1.0,192,3,6,3,1.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed0_loads,ConfidenceSelector,per_access,3,1.2163678949221561,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed1_loads,ConfidenceSelector,per_access,3,1.2163678949221561,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed2_loads,ConfidenceSelector,per_access,3,1.2163678949221561,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed3_loads,ConfidenceSelector,per_access,3,1.2163678949221561,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_bfs_size65536_seed4_loads,ConfidenceSelector,per_access,3,1.2163678949221561,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed0_loads,ConfidenceSelector,per_access,3,1.0029989239155361,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
graph_dfs_size16384_seed1_loads,ConfidenceSelector,per_access,3,1.0029989239155361,1.0,0.0,192,3,6,3,0.0,per_access uses finest available replay window as a conservative proxy
