selector,granularity,workloads,geomean_speedup,mean_wam_activation_rate,selector_bytes,lookup_cycles,update_traffic
ConfidenceSelector,100,37,1.479551599526401,0.21621621621621623,192,1110,2220
ConfidenceSelector,1000,37,1.4802616019053492,0.21621621621621623,192,111,222
ConfidenceSelector,10000,37,1.4802616019053492,0.21621621621621623,192,111,222
ConfidenceSelector,per_access,37,1.4802616019053492,0.21621621621621623,192,111,222
EntropyAwareSelector,100,37,1.4037242659486802,0.3783783783783784,192,1110,2220
EntropyAwareSelector,1000,37,1.4043696186559351,0.3783783783783784,192,111,222
EntropyAwareSelector,10000,37,1.4043696186559351,0.3783783783783784,192,111,222
EntropyAwareSelector,per_access,37,1.4043696186559351,0.3783783783783784,192,111,222
RecentWinnerSelector,100,37,1.4328315665629305,0.2252252252252252,192,1110,2220
RecentWinnerSelector,1000,37,1.433510032617326,0.2252252252252252,192,111,222
RecentWinnerSelector,10000,37,1.433510032617326,0.2252252252252252,192,111,222
RecentWinnerSelector,per_access,37,1.433510032617326,0.2252252252252252,192,111,222
StaticPerWorkloadOracle,100,37,1.468364485568413,0.26126126126126126,128,1110,2220
StaticPerWorkloadOracle,1000,37,1.4690691123462032,0.26126126126126126,128,111,222
StaticPerWorkloadOracle,10000,37,1.4690691123462032,0.26126126126126126,128,111,222
StaticPerWorkloadOracle,per_access,37,1.4690691123462032,0.26126126126126126,128,111,222
WindowOracle,100,37,1.497747000526035,0.4144144144144144,128,1110,2220
WindowOracle,1000,37,1.4984749679864204,0.4144144144144144,128,111,222
WindowOracle,10000,37,1.4984749679864204,0.4144144144144144,128,111,222
WindowOracle,per_access,37,1.4984749679864204,0.4144144144144144,128,111,222
