trace,benchmark,seed,capture_method,trace_length,load_count,store_count,unique_cache_lines
binary_tree_size65536_seed0_loads.trace,binary_tree,0,source_instrumented,2097152,2097152,65536,8192
binary_tree_size65536_seed1_loads.trace,binary_tree,1,source_instrumented,2097152,2097152,65536,8192
binary_tree_size65536_seed2_loads.trace,binary_tree,2,source_instrumented,2097152,2097152,65536,8192
binary_tree_size65536_seed3_loads.trace,binary_tree,3,source_instrumented,2097152,2097152,65536,8192
binary_tree_size65536_seed4_loads.trace,binary_tree,4,source_instrumented,2097152,2097152,65536,8192
graph_bfs_size65536_seed0_loads.trace,graph_bfs,0,source_instrumented,589824,589824,131072,12288
graph_bfs_size65536_seed1_loads.trace,graph_bfs,1,source_instrumented,589824,589824,131072,12288
graph_bfs_size65536_seed2_loads.trace,graph_bfs,2,source_instrumented,589824,589824,131072,12288
graph_bfs_size65536_seed3_loads.trace,graph_bfs,3,source_instrumented,589824,589824,131072,12288
graph_bfs_size65536_seed4_loads.trace,graph_bfs,4,source_instrumented,589824,589824,131072,12288
graph_dfs_size16384_seed0_loads.trace,graph_dfs,0,source_instrumented,110664,110664,71716,2304
graph_dfs_size16384_seed1_loads.trace,graph_dfs,1,source_instrumented,110664,110664,71716,2304
graph_dfs_size16384_seed2_loads.trace,graph_dfs,2,source_instrumented,110664,110664,71716,2304
graph_dfs_size16384_seed3_loads.trace,graph_dfs,3,source_instrumented,110664,110664,71716,2304
graph_dfs_size16384_seed4_loads.trace,graph_dfs,4,source_instrumented,110664,110664,71716,2304
hash_table_size65536_seed0_loads.trace,hash_table,0,source_instrumented,1121018,1121018,65536,16384
hash_table_size65536_seed1_loads.trace,hash_table,1,source_instrumented,1121018,1121018,65536,16384
hash_table_size65536_seed2_loads.trace,hash_table,2,source_instrumented,1107706,1107706,65536,16385
hash_table_size65536_seed3_loads.trace,hash_table,3,source_instrumented,1120550,1120550,65536,16385
hash_table_size65536_seed4_loads.trace,hash_table,4,source_instrumented,1118536,1118536,65536,16385
linked_list_size65536_seed0_loads.trace,linked_list,0,source_instrumented,196608,196608,262144,16384
linked_list_size65536_seed1_loads.trace,linked_list,1,source_instrumented,196608,196608,262144,16384
linked_list_size65536_seed2_loads.trace,linked_list,2,source_instrumented,196608,196608,262144,16384
linked_list_size65536_seed3_loads.trace,linked_list,3,source_instrumented,196608,196608,262144,16384
linked_list_size65536_seed4_loads.trace,linked_list,4,source_instrumented,196608,196608,262144,16384
matrix_scan_size512_seed0_loads.trace,matrix_scan,0,source_instrumented,262144,262144,262144,32768
pointer_chase_size65536_seed0_loads.trace,pointer_chase,0,source_instrumented,262144,262144,65536,8192
pointer_chase_size65536_seed1_loads.trace,pointer_chase,1,source_instrumented,262144,262144,65536,8192
pointer_chase_size65536_seed2_loads.trace,pointer_chase,2,source_instrumented,262144,262144,65536,8192
pointer_chase_size65536_seed3_loads.trace,pointer_chase,3,source_instrumented,262144,262144,65536,8192
pointer_chase_size65536_seed4_loads.trace,pointer_chase,4,source_instrumented,262144,262144,65536,8192
quicksort_size65536_seed0_loads.trace,quicksort,0,source_instrumented,1971996,1971996,590624,8192
quicksort_size65536_seed1_loads.trace,quicksort,1,source_instrumented,1971996,1971996,590624,8192
quicksort_size65536_seed2_loads.trace,quicksort,2,source_instrumented,1980080,1980080,588246,8192
quicksort_size65536_seed3_loads.trace,quicksort,3,source_instrumented,1978737,1978737,589166,8192
quicksort_size65536_seed4_loads.trace,quicksort,4,source_instrumented,1936227,1936227,594172,8192
stride_size524288_seed0_loads.trace,stride,0,source_instrumented,131072,131072,524288,65536
