workload,depth,conditional_entropy,unique_contexts,mean_observations,median_observations,evaluation_context_reuse,one_shot_contexts,contexts_seen_ge_2,contexts_seen_ge_5,contexts_seen_ge_10,oracle_accuracy_h1
binary_tree_size65536_seed0_loads,1,0.10215222617612783,65,53.83076923076923,30,0.043333333333333335,3,62,62,55,0.884
binary_tree_size65536_seed0_loads,2,0.08962131823191759,75,46.653333333333336,30,0.04933333333333333,5,70,70,61,0.884
binary_tree_size65536_seed0_loads,4,0.06086807305738105,94,37.223404255319146,30.0,0.06066666666666667,9,85,85,72,0.9466666666666667
binary_tree_size65536_seed0_loads,8,0.08416355770028593,153,22.869281045751634,16,0.09333333333333334,23,130,127,91,0.9465597862391449
binary_tree_size65536_seed0_loads,16,0.07862987810236285,417,8.390887290167866,5,0.214,97,320,214,108,0.9476902173913043
graph_bfs_size65536_seed0_loads,1,0.2321093551322836,2046,1.7101661779081134,1.0,0.7826666666666666,1076,970,50,0,0.6789168278529981
graph_bfs_size65536_seed0_loads,2,0.09435310594624903,2732,1.2807467057101025,1.0,0.914,2065,667,0,0,0.6376262626262627
graph_bfs_size65536_seed0_loads,4,0.04764866234397669,3199,1.0937793060331353,1,0.968,2909,290,0,0,0.4566929133858268
graph_bfs_size65536_seed0_loads,8,0.0,3499,1,1,1.0,3499,0,0,0,0.0
graph_bfs_size65536_seed0_loads,16,0.0,3499,1,1,1.0,3499,0,0,0,0.0
graph_dfs_size16384_seed0_loads,1,0.5157538113964493,1786,1.9591265397536395,1.0,0.508,1310,476,248,12,0.0
graph_dfs_size16384_seed0_loads,2,0.0,3499,1,1,0.946,3499,0,0,0,0.0
graph_dfs_size16384_seed0_loads,4,0.0,3499,1,1,1.0,3499,0,0,0,0.0
graph_dfs_size16384_seed0_loads,8,0.0,3499,1,1,1.0,3499,0,0,0,0.0
graph_dfs_size16384_seed0_loads,16,0.0,3499,1,1,1.0,3499,0,0,0,0.0
hash_table_size65536_seed0_loads,1,0.10358047267828137,3116,1.1229139922978177,1.0,0.9073333333333333,2822,294,9,0,0.0
hash_table_size65536_seed0_loads,2,0.009521061742642816,3466,1.0095210617426429,1.0,0.9753333333333334,3433,33,0,0,0.0
hash_table_size65536_seed0_loads,4,0.0,3499,1,1,1.0,3499,0,0,0,0.0
hash_table_size65536_seed0_loads,8,0.0,3499,1,1,1.0,3499,0,0,0,0.0
hash_table_size65536_seed0_loads,16,0.0,3499,1,1,1.0,3499,0,0,0,0.0
linked_list_size65536_seed0_loads,1,0.810350949459751,875,3.9988571428571427,4,0.25066666666666665,0,875,0,0,0.0
linked_list_size65536_seed0_loads,2,0.4586231765506422,1750,1.9994285714285713,1.5,0.5006666666666667,875,875,0,0,0.0
linked_list_size65536_seed0_loads,4,0.0,3499,1,1,1.0,3499,0,0,0,0.0
linked_list_size65536_seed0_loads,8,0.0,3499,1,1,1.0,3499,0,0,0,0.0
linked_list_size65536_seed0_loads,16,0.0,3499,1,1,1.0,3499,0,0,0,0.0
matrix_scan_size512_seed0_loads,1,0.5423234284890951,438,7.988584474885845,8.0,0.12533333333333332,0,438,437,0,0.8
matrix_scan_size512_seed0_loads,2,0.29516096374483686,876,3.9942922374429224,1.5,0.25,438,438,437,0,0.8
matrix_scan_size512_seed0_loads,4,0.18017280266463584,1751,1.998286693318104,1,0.49933333333333335,1314,437,437,0,0.0
matrix_scan_size512_seed0_loads,8,0.0,3499,1,1,1.0,3499,0,0,0,0.0
matrix_scan_size512_seed0_loads,16,0.0,3499,1,1,1.0,3499,0,0,0,0.0
pointer_chase_size65536_seed0_loads,1,0.005847953216374269,171,20.461988304093566,39,0.05733333333333333,84,87,86,86,1.0
pointer_chase_size65536_seed0_loads,2,0.0,173,20.22543352601156,1,0.05733333333333333,87,86,86,86,1.0
pointer_chase_size65536_seed0_loads,4,0.0,175,19.994285714285713,1,0.05733333333333333,89,86,86,86,1.0
pointer_chase_size65536_seed0_loads,8,0.0,179,19.547486033519554,1,0.05733333333333333,93,86,86,86,1.0
pointer_chase_size65536_seed0_loads,16,0.0,187,18.711229946524064,1,0.05733333333333333,101,86,86,86,1.0
quicksort_size65536_seed0_loads,1,1.4524018715274374,294,11.901360544217686,12.0,0.084,2,292,292,279,0.35714285714285715
quicksort_size65536_seed0_loads,2,0.7062821510093782,971,3.603501544799176,3,0.2833333333333333,225,746,312,15,0.0
quicksort_size65536_seed0_loads,4,0.14424124258591636,2458,1.4235150528885272,1.0,0.688,1856,602,64,0,0.0
quicksort_size65536_seed0_loads,8,0.015326922352643471,3368,1.038895486935867,1.0,0.9426666666666667,3272,96,3,0,0.0
quicksort_size65536_seed0_loads,16,0.0002858776443682104,3498,1.0002858776443682,1.0,1.0,3497,1,0,0,0.0
stride_size524288_seed0_loads,1,0.9994285714285714,1750,1.9994285714285713,2.0,0.5006666666666667,1,1749,0,0,0.0
stride_size524288_seed0_loads,2,0.0,3499,1,1,1.0,3499,0,0,0,0.0
stride_size524288_seed0_loads,4,0.0,3499,1,1,1.0,3499,0,0,0,0.0
stride_size524288_seed0_loads,8,0.0,3499,1,1,1.0,3499,0,0,0,0.0
stride_size524288_seed0_loads,16,0.0,3499,1,1,1.0,3499,0,0,0,0.0
