workload,category,window,accuracy,speedup,conditional_entropy,best_horizon
binary_tree_size65536_seed0_loads,tree,1,0.6015625,1.2650358653669302,0.052638567956626775,16
binary_tree_size65536_seed0_loads,tree,2,0.5035211267605634,1.4646680942184154,0.07650132038729478,16
binary_tree_size65536_seed0_loads,tree,3,0.5875576036866359,1.6467374810318665,0.0770715225634347,16
binary_tree_size65536_seed0_loads,tree,4,0.5205479452054794,1.2506279349131812,0.07795967492829384,16
binary_tree_size65536_seed0_loads,tree,5,0.5471956224350205,1.4188344882426445,0.07887332135427666,16
binary_tree_size65536_seed0_loads,tree,6,0.5278093076049943,1.1804268610098907,0.07765516263291675,16
binary_tree_size65536_seed0_loads,tree,7,0.5319148936170213,1.196352803105534,0.0792795284689833,16
binary_tree_size65536_seed0_loads,tree,8,0.5506756756756757,1.370942201108472,0.07529804284719153,16
binary_tree_size65536_seed0_loads,tree,9,0.5659670164917541,1.0620542082738944,0.07898738254804295,16
binary_tree_size65536_seed0_loads,tree,10,0.5673854447439353,1.2217051817966718,0.07862987810236285,16
graph_bfs_size65536_seed0_loads,graph,1,0.0,0.9999511169770738,0.0,16
graph_bfs_size65536_seed0_loads,graph,2,0.0,0.9992891285696777,0.0,16
graph_bfs_size65536_seed0_loads,graph,3,0.0,0.9992165823404603,0.0,16
graph_bfs_size65536_seed0_loads,graph,4,0.06422018348623854,1.0113876001687052,0.0,16
graph_bfs_size65536_seed0_loads,graph,5,0.09090909090909091,1.03474136076306,0.0,16
graph_bfs_size65536_seed0_loads,graph,6,0.07561436672967864,1.0453289496694764,0.0,16
graph_bfs_size65536_seed0_loads,graph,7,0.07252440725244072,1.0489043149970696,0.0,16
graph_bfs_size65536_seed0_loads,graph,8,0.14855072463768115,1.107837142166413,0.0,16
graph_bfs_size65536_seed0_loads,graph,9,0.1923913043478261,1.1321296457045178,0.0,16
graph_bfs_size65536_seed0_loads,graph,10,0.22602739726027396,1.1598589906098846,0.0,16
graph_dfs_size16384_seed0_loads,graph,1,0.0,1.0063275120222728,0.0,16
graph_dfs_size16384_seed0_loads,graph,2,0.0,1.0050883281580252,0.0,16
graph_dfs_size16384_seed0_loads,graph,3,0.0,1.0111028315946349,0.0,16
graph_dfs_size16384_seed0_loads,graph,4,0.0,1.0118409680207432,0.0,16
graph_dfs_size16384_seed0_loads,graph,5,0.0,1.019784616904609,0.0,16
graph_dfs_size16384_seed0_loads,graph,6,0.0,1.0114059663592196,0.0,16
graph_dfs_size16384_seed0_loads,graph,7,0.0,1.0153041276461061,0.0,16
graph_dfs_size16384_seed0_loads,graph,8,0.0016891891891891893,1.012964418943107,0.0,16
graph_dfs_size16384_seed0_loads,graph,9,0.0014992503748125937,1.0048195674438218,0.0,16
graph_dfs_size16384_seed0_loads,graph,10,0.0026954177897574125,1.0049493056556629,0.0,16
hash_table_size65536_seed0_loads,hash,1,0.0,1.0063403731241163,0.0,16
hash_table_size65536_seed0_loads,hash,2,0.0,0.9997961448730436,0.0,16
hash_table_size65536_seed0_loads,hash,3,0.041666666666666664,1.001841289801051,0.0,16
hash_table_size65536_seed0_loads,hash,4,0.0,0.9995207339617044,0.0,16
hash_table_size65536_seed0_loads,hash,5,0.0,0.9994156874020349,0.0,16
hash_table_size65536_seed0_loads,hash,6,0.0,0.9991981253260048,0.0,16
hash_table_size65536_seed0_loads,hash,7,0.0,0.9991107158737217,0.0,16
hash_table_size65536_seed0_loads,hash,8,0.0,0.9998926577930443,0.0,16
hash_table_size65536_seed0_loads,hash,9,0.0,0.9989937763202027,0.0,16
hash_table_size65536_seed0_loads,hash,10,0.0,0.9988337124571076,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,1,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,2,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,3,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,4,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,5,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,6,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,7,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,8,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,9,0.0,1.0,0.0,16
linked_list_size65536_seed0_loads,pointer_chasing,10,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,1,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,2,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,3,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,4,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,5,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,6,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,7,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,8,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,9,0.0,1.0,0.0,16
matrix_scan_size512_seed0_loads,dynamic_programming,10,0.0,1.0,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,1,1.0,1.829718875502008,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,2,1.0,1.508337396392004,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,3,1.0,1.4254581475978207,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,4,1.0,1.3924346429093033,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,5,1.0,1.3657961908501866,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,6,1.0,1.344244796299591,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,7,1.0,1.3254604550379199,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,8,1.0,1.3116947967642065,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,9,1.0,1.2987830271620935,0.0,16
pointer_chase_size65536_seed0_loads,pointer_chasing,10,1.0,1.2872473387062018,0.0,16
quicksort_size65536_seed0_loads,sorting,1,0.0,1.0,0.0028735632183908046,16
quicksort_size65536_seed0_loads,sorting,2,0.0,1.0,0.0014326647564469914,16
quicksort_size65536_seed0_loads,sorting,3,0.0,1.0,0.0009541984732824427,16
quicksort_size65536_seed0_loads,sorting,4,0.0,1.0,0.000715307582260372,16
quicksort_size65536_seed0_loads,sorting,5,0.0,0.9999208672944528,0.0005720823798627002,16
quicksort_size65536_seed0_loads,sorting,6,0.0,1.0,0.00047664442326024784,16
quicksort_size65536_seed0_loads,sorting,7,0.0,1.0,0.0004084967320261438,16
quicksort_size65536_seed0_loads,sorting,8,0.0,1.0,0.00035739814152966406,16
quicksort_size65536_seed0_loads,sorting,9,0.0,0.9999543358144207,0.0003176620076238882,16
quicksort_size65536_seed0_loads,sorting,10,0.0,0.999959011353855,0.0002858776443682104,16
stride_size524288_seed0_loads,sequential_control,1,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,2,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,3,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,4,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,5,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,6,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,7,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,8,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,9,0.0,1.0,0.0,16
stride_size524288_seed0_loads,sequential_control,10,0.0,1.0,0.0,16
