workload,category,predictor,horizon,budget_bytes,train_fraction,accuracy,prefetch_precision,coverage,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,speedup,cycles_hidden,predictor_overhead,storage_bytes,fraction_of_ideal_gain,trace_length,within_budget,prediction_attempts,wrong_predictions
binary_tree_size65536_seed0_loads,tree,NextLine,1,8192,0.7,0.10406937958639093,0.07079646017699115,0.15066666666666667,0.0625,1716.375,1566.375,8,1808,10.428666666666667,15643,0.9902192674039506,2195,0,8,0.0,5000,True,1499,1343
binary_tree_size65536_seed0_loads,tree,Stride,1,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.326666666666666,15490,1.0,0,0,16,0.0,5000,True,0,0
binary_tree_size65536_seed0_loads,tree,Markov-1,16,8192,0.7,0.5970350404312669,1.0,0.008666666666666666,0.0,1886.8461538461538,1736.8461538461538,0,104,9.07,13605,1.1385520029400955,1898,0,1040,1.0,5000,True,1484,598
binary_tree_size65536_seed0_loads,tree,Markov-N-H2,2,8192,0.7,0.8518024032042724,1.0,0.030666666666666665,0.5,226.06521739130434,76.06521739130434,0,368,7.806,11709,1.322913997779486,3827,0,2224,0.9508160316588223,5000,True,1498,222
binary_tree_size65536_seed0_loads,tree,Markov-N-H4,4,8192,0.7,0.804144385026738,1.0,0.020666666666666667,0.3225806451612903,616.7741935483871,466.7741935483871,0,248,7.782666666666667,11674,1.326880246702073,3847,0,5008,1.0,5000,True,1496,293
binary_tree_size65536_seed0_loads,tree,Markov-N-H8,8,8192,0.7,0.5394252026529108,1.0,0.012,0.0,2492.3888888888887,2342.3888888888887,0,144,8.586666666666666,12880,1.2026397515527951,2628,0,8192,1.1008858927797618,5000,True,1357,625
binary_tree_size65536_seed0_loads,tree,Markov-N-H16,16,8192,0.7,0.7115869017632241,1.0,0.005333333333333333,0.0,1223.5,1073.5,0,64,9.553333333333333,14330,1.0809490579204466,1168,0,8192,0.5842503623382899,5000,True,794,229
binary_tree_size65536_seed0_loads,tree,VLDP,16,8192,0.7,0.5675862068965517,1.0,0.014666666666666666,0.18181818181818182,1443.9545454545455,1293.9545454545455,0,176,8.259333333333334,12389,1.2503026878682701,3123,0,7104,1.806561309521388,5000,True,1450,627
binary_tree_size65536_seed0_loads,tree,SPP,16,8192,0.7,0.5808625336927223,0.36363636363636365,0.014666666666666666,0.0,1223.5,1073.5,0,176,9.589333333333334,14384,1.0768909899888766,1168,0,1440,0.5549612301319182,5000,True,1484,622
binary_tree_size65536_seed0_loads,tree,GMC,16,8192,0.7,0.5968289920724802,0.4,0.013333333333333334,0.0,1223.5,1073.5,0,160,9.588,14382,1.0770407453761646,1168,0,8192,0.5560420906327423,5000,True,883,356
binary_tree_size65536_seed0_loads,tree,DirectWAM-H8,8,8192,0.7,0.6628686327077749,1.0,0.012666666666666666,0.21052631578947367,1302.157894736842,1152.157894736842,0,152,8.528,12792,1.2109130706691682,2717,0,19152,1.145832554191885,5000,False,1492,503
binary_tree_size65536_seed0_loads,tree,DirectWAM-H16,16,8192,0.7,0.5673854447439353,1.0,0.013333333333333334,0.2,1543.0,1393.0,0,160,8.452666666666667,12679,1.2217051817966718,2831,0,71496,1.600158619810992,5000,False,1484,642
binary_tree_size65536_seed0_loads,tree,DirectWAM-H32,32,8192,0.7,0.5572207084468664,1.0,0.016666666666666666,0.12,1692.48,1542.48,0,200,7.966666666666667,11950,1.296234309623431,3565,0,411672,3.659515221468765,5000,False,1468,650
binary_tree_size65536_seed0_loads,tree,HashedContext-H8,8,8192,0.7,0.6281879194630873,1.0,0.011333333333333334,0.17647058823529413,1418.5882352941176,1268.5882352941176,0,136,8.721333333333334,13082,1.1840697141109922,2425,0,8256,1.0,5000,True,1490,554
binary_tree_size65536_seed0_loads,tree,HashedContext-H16,16,8192,0.7,0.4830163043478261,1.0,0.011333333333333334,0.17647058823529413,1243.8235294117646,1093.8235294117646,0,136,8.741333333333333,13112,1.1813605857230018,2395,0,8320,1.3089712301121703,5000,True,1472,761
binary_tree_size65536_seed0_loads,tree,HashedContext-H32,32,8192,0.7,0.36407432897453545,1.0,0.014,0.0,2146.5238095238096,1996.5238095238096,0,168,8.296666666666667,12445,1.2446765769385295,3066,0,8448,3.022599437525111,5000,True,1453,924
binary_tree_size65536_seed0_loads,tree,RecursiveWAM,16,8192,0.7,0.6017520215633423,1.0,0.005333333333333333,0.0,1223.5,1073.5,0,64,9.553333333333333,14330,1.0809490579204466,1168,0,7512,0.5842503623382899,5000,True,1484,591
binary_tree_size65536_seed0_loads,tree,DirectWAM-H16-miss-only,16,8192,0.7,0.0,1.0,0.024,0.08333333333333333,1914.7222222222222,1764.7222222222222,0,288,6.879333333333333,10319,1.5011144490745227,5207,0,15936,3.616796859235482,5000,False,1391,1391
graph_bfs_size65536_seed0_loads,graph,NextLine,1,8192,0.7,0.0,0.022900763358778626,0.6113333333333333,0.0,2683.9523809523807,2533.9523809523807,182,7336,121.18066666666667,181771,1.0118225679563846,3066,0,8,0.0,5000,True,1499,1499
graph_bfs_size65536_seed0_loads,graph,Stride,1,8192,0.7,0.7284856571047365,0.7920059215396003,0.9006666666666666,1.0,1.0,-149.0,17,10808,136.62733333333333,204941,0.8974290161558692,0,0,16,0.0,5000,True,1499,407
graph_bfs_size65536_seed0_loads,graph,Markov-1,16,8192,0.7,0.07627118644067797,0.09163346613545817,0.16733333333333333,0.0,1797.304347826087,1647.304347826087,75,2008,120.542,180813,1.0171834989740782,3358,0,8192,0.11062259659824732,5000,True,354,327
graph_bfs_size65536_seed0_loads,graph,Markov-N-H2,2,8192,0.7,0.4551282051282051,0.5641025641025641,0.078,0.48484848484848486,99.27272727272727,-50.72727272727273,8,936,119.26666666666667,178900,1.0280603689211851,6237,0,8192,0.13114690686806615,5000,True,156,85
graph_bfs_size65536_seed0_loads,graph,Markov-N-H4,4,8192,0.7,0.11666666666666667,0.1276595744680851,0.03133333333333333,0.0,429.0,279.0,2,376,122.20733333333334,183311,1.0033222228889702,876,0,8192,0.05008423054511783,5000,True,60,53
graph_bfs_size65536_seed0_loads,graph,Markov-N-H8,8,8192,0.7,0.2727272727272727,0.23076923076923078,0.017333333333333333,0.0,570.6666666666666,420.6666666666667,1,208,122.04666666666667,183070,1.0046430327197247,876,0,8192,0.010668901614357454,5000,True,33,24
graph_bfs_size65536_seed0_loads,graph,Markov-N-H16,16,8192,0.7,0.07407407407407407,0.08695652173913043,0.015333333333333332,0.0,1232.0,1082.0,1,184,122.434,183651,1.001464734741439,292,0,8192,0.009429555684210068,5000,True,27,25
graph_bfs_size65536_seed0_loads,graph,VLDP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,1.0,0,0,8192,0.0,5000,True,0,0
graph_bfs_size65536_seed0_loads,graph,SPP,16,8192,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,122.61333333333333,183920,1.0,0,0,8192,0.0,5000,True,0,0
graph_bfs_size65536_seed0_loads,graph,GMC,16,8192,0.7,0.16897746967071056,0.15166835187057634,0.6593333333333333,0.0,1465.3133333333333,1315.3133333333333,85,7912,109.846,164769,1.1162293878096001,21900,0,8192,0.7482525357564646,5000,True,1154,959
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H8,8,8192,0.7,0.45436893203883494,0.5034090909090909,0.5866666666666667,0.004514672686230248,595.8397291196388,445.83972911963883,46,7040,84.85533333333333,127283,1.4449690846381684,64447,0,593280,1.0224634785078228,5000,False,1030,562
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H16,16,8192,0.7,0.22602739726027396,0.22326674500587543,0.5673333333333334,0.0,1608.4105263157894,1458.4105263157894,148,6808,105.714,158571,1.1598589906098846,27740,0,1258824,1.0291278078764454,5000,False,1022,791
graph_bfs_size65536_seed0_loads,graph,DirectWAM-H32,32,8192,0.7,0.26514399205561073,0.2998790810157195,0.5513333333333333,0.0,3038.7580645161293,2888.7580645161293,19,6616,101.226,151839,1.2112830037078748,36208,0,2576160,1.0224197724033808,5000,False,1007,740
graph_bfs_size65536_seed0_loads,graph,HashedContext-H8,8,8192,0.7,0.0006711409395973154,0.007238883143743537,0.6446666666666667,0.0,2958.285714285714,2808.285714285714,58,7736,122.72333333333333,184085,0.9991036749327756,1022,0,8256,0.0,5000,True,1490,1489
graph_bfs_size65536_seed0_loads,graph,HashedContext-H16,16,8192,0.7,0.0,0.009384775808133473,0.6393333333333333,0.0,2326.6666666666665,2176.6666666666665,58,7672,122.37666666666667,183565,1.001933919864898,1314,0,8320,0.012450039272599528,5000,True,1484,1484
graph_bfs_size65536_seed0_loads,graph,HashedContext-H32,32,8192,0.7,0.0,0.01583949313621964,0.6313333333333333,0.06666666666666667,2033.4666666666667,1883.4666666666667,63,7576,122.104,183156,1.004171307519273,2044,0,8448,0.02018537795106488,5000,True,1468,1468
graph_bfs_size65536_seed0_loads,graph,RecursiveWAM,16,8192,0.7,0.28934506353861195,0.2889137737961926,0.5953333333333334,0.0,1469.5348837209303,1319.5348837209303,90,7144,99.49,149235,1.2324186685429022,37668,0,263328,1.4962468732886471,5000,False,1023,727
