predictor,workloads,mean_speedup,std_speedup,geomean_speedup,irregular_geomean_speedup,median_speedup,worst_regression,mean_accuracy,mean_storage_bytes
NextLine,9,1.1206816788810472,0.18662742284019904,1.1067036222066233,1.1208196022646422,1.0118225679563846,-0.031046228710462254,0.1113334815803128,8
Stride,9,0.9886032240173188,0.032234950324071414,0.9880474228027533,0.9865634310018294,1.0,-0.10257098384413077,0.26158179527092135,16
Markov-1,9,1.0497347691784353,0.09414234520726011,1.045902231601673,1.0517862181701578,1.0,-0.00022190062711047176,0.18641564629693202,6263.111111111111
Markov-N-H2,9,0.9573280479909457,0.2648816828910963,0.8923190710972843,0.879701225394297,1.0,-0.7367391189380719,0.37854784537027525,7226.666666666667
Markov-N-H4,9,0.9838630851115795,0.19243142597657972,0.9606157965078395,0.9558031103558233,1.0,-0.47826998323085523,0.2578678946326005,7838.222222222223
Markov-N-H8,9,1.0257623222824948,0.06297336817445053,1.0239994693397814,1.0270396208808559,1.0,-4.0988646144990426e-05,0.20135027504224262,8192
Markov-N-H16,9,1.0234418053768835,0.044481335520541815,1.0225157402309035,1.025365621635082,1.0,-4.0988646144990426e-05,0.20099075442119851,8192
VLDP,9,2.2638313374161374,2.076239299574631,1.6893186565335956,1.4028378502198884,1.2503026878682701,0.0,0.5075095785440613,4760.888888888889
SPP,9,2.106169598408219,2.1203543074105102,1.5219461865400647,1.247473010740742,1.0355717802869513,0.0,0.41268842966956176,4126.222222222223
GMC,9,2.2785085544627375,2.0673362350387303,1.7140265481683157,1.4259414282243466,1.1272644927536233,-0.00038585084935416347,0.6053277020984498,5816.888888888889
DirectWAM-H8,9,1.0762408091062665,0.14558557567533206,1.06768771781492,1.076464662584179,1.0002654452965507,-4.0988646144990426e-05,0.23569544582975438,435248
DirectWAM-H16,9,1.074728171175487,0.10902919055422257,1.0695071297718313,1.078528546785309,1.0,-0.0011662875428923858,0.19956758442155184,961888
DirectWAM-H32,9,1.0589657673049298,0.10614703688383288,1.0540979498947771,1.0610628023766888,1.0,-0.00042441955802485776,0.20263634425807117,2031432
HashedContext-H8,9,1.011545607108091,0.062075065310560944,1.0098015136414047,1.0124911839931845,0.9942624130486928,-0.027193671291044996,0.1718243757909447,8256
HashedContext-H16,9,1.0522687204713028,0.1218727994184367,1.0459647271581038,1.0533329520846675,0.9950643838641842,-0.025602108878859275,0.1599128628071409,8320
HashedContext-H32,9,1.0133274192255324,0.08397096033552333,1.0102152800279207,1.0128961382535482,0.98902228083095,-0.05749447775323446,0.1377146335708165,8448
RecursiveWAM,9,1.067362831346667,0.10660947034877452,1.0624208101415464,1.0704925271713657,1.0,-0.0011614737704522815,0.21146960723954028,183277.33333333334
DirectWAM-H16-miss-only,9,1.1094847902772953,0.17197844760952954,1.0975512717612241,1.1103960788404605,1.0,-0.005894096396995896,0.11141060197663971,460704
Hybrid,9,1.0334836307236135,0.11636779974579368,1.0277015713635234,1.0312936645561954,0.9994899721952584,-0.099539292341286,0.18185852928019916,8336
