trace,variant,workload_class,events_total,events_warmup,events_measurement,events_per_1k_measurement_instructions,eligible_accesses_seen,history_updates,contexts_formed,training_pairs_created,unique_contexts,context_revisits,prediction_lookups,prediction_context_hits,prediction_context_misses,predictions_generated,predictions_above_threshold,predictions_below_threshold,prefetch_requests_generated,prefetch_requests_accepted,prefetches_completed,prefetched_lines_demanded_later,prefetches_useful,pending_max,pending_expired,hash_collisions,hash_alias_misses,entry_insertions,entry_evictions,entry_reuses_before_eviction,shadow_predictions,shadow_correct,shadow_unresolved,request_rejected_or_duplicate,prefetch_requests_duplicate,prefetch_requests_rejected,prefetch_requests_rejected_or_duplicate,prefetches_unused,prefetches_unused_from_json,prefetches_late,prefetches_early,duplicate_exact,rejection_reason,native_spp_prefetch_requests,native_spp_prefetches_useful,set_lookups,tag_hits,tag_misses,empty_way_insertions,conflict_insertions,replacement_events,reused_before_replacement,way0_hits,way1_hits,way2_hits,way3_hits,set_conflict_lookups,unresolved_conflict_events,same_set_distinct_contexts,direct_map_alias_equivalent_events,occupied_sets,sets_ever_reaching_4way,occupancy0,occupancy1,occupancy2,occupancy3,occupancy4,active_contexts_per_occupied_set_mean,set_pressure_median,set_pressure_p90,set_pressure_p95,set_pressure_p99,set_pressure_max,prefetch_rejection_reason
403.gcc-48B,DirectMappedWAM,control/compute,13379,4917,8462,0.8462,13379,13379,13376,13360,8015,5361,13376,2491,10885,0,0,2491,0,0,0,0,0,16,16,10611,10611,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,2730.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403.gcc-48B,SetAssociativeWAM,control/compute,13379,4917,8462,0.8462,13379,13379,13376,13360,8015,5361,13376,2556,10820,0,0,2556,0,0,0,0,0,16,16,,,10799,10543,86,0,0,0,0,,,,,,,,,,,,13376,2556,10820,256,10543,10543,86,593,674,674,615,10744,10556,7951,390,64,64,0,0,0,0,64,209,124,141,146,150,152,not_exposed
410.bwaves-945B,DirectMappedWAM,irregular/memory-bound,430,338,92,0.0092,430,430,427,411,427,0,427,0,427,0,0,0,0,0,0,0,0,16,16,203,203,202,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,144.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410.bwaves-945B,SetAssociativeWAM,irregular/memory-bound,430,338,92,0.0092,430,430,427,411,427,0,427,0,427,0,0,0,0,0,0,0,0,16,16,,,411,162,0,0,0,0,0,,,,,,,,,,,,427,0,427,249,162,162,0,0,0,0,0,353,162,363,0,64,57,0,0,0,7,57,6.67188,7,9,10,12,13,not_exposed
416.gamess-875B,DirectMappedWAM,irregular/scientific,18608,6945,11663,1.1663000000000001,18608,18608,18605,18589,15221,3384,18605,394,18211,0,0,394,0,0,0,0,0,16,16,17940,17940,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,5988.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416.gamess-875B,SetAssociativeWAM,irregular/scientific,18608,6945,11663,1.1663000000000001,18608,18608,18605,18589,15221,3384,18605,347,18258,0,0,347,0,0,0,0,0,16,16,,,18273,18017,31,0,0,0,0,,,,,,,,,,,,18605,347,18258,256,18017,18017,31,67,82,111,87,18185,17988,15157,139,64,64,0,0,0,0,64,290.703,238,254,257,266,268,not_exposed
429.mcf-217B,DirectMappedWAM,irregular/pointer-heavy,1150581,91238,1059343,105.9343,1150581,1150581,1150578,1150562,350857,799721,1150578,7,1150571,0,0,7,0,0,0,0,0,16,16,1150304,1150304,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,6697850.0,156742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429.mcf-217B,SetAssociativeWAM,irregular/pointer-heavy,1150581,91238,1059343,105.9343,1150581,1150581,1150578,1150562,350857,799721,1150578,0,1150578,0,0,0,0,0,0,0,0,16,16,,,1150562,1150306,0,0,0,0,0,,,,,,,,,,,,1150578,0,1150578,256,1150306,1150306,0,0,0,0,0,1150497,1150310,350793,0,64,64,0,0,0,0,64,17977.8,5473,5571,5596,5649,5667,not_exposed
434.zeusmp-10B,DirectMappedWAM,irregular/scientific,243081,63992,179089,17.9089,243081,243081,243078,243062,144054,99024,243078,2706,240372,0,0,2706,0,0,0,0,0,16,16,240104,240104,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,139812.0,7839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434.zeusmp-10B,SetAssociativeWAM,irregular/scientific,243081,63992,179089,17.9089,243081,243081,243078,243062,144054,99024,243078,54,243024,0,0,54,0,0,0,0,0,16,16,,,243015,242759,7,0,0,0,0,,,,,,,,,,,,243078,54,243024,256,242759,242759,7,15,14,11,14,242940,242753,143990,29,64,64,0,0,0,0,64,3798.09,2252,2300,2314,2352,2363,not_exposed
435.gromacs-111B,DirectMappedWAM,regular/scientific,204541,75028,129513,12.9513,204541,204541,204538,204522,166019,38519,204538,49,204489,0,0,49,0,0,0,0,0,16,16,204211,204211,256,0,0,0,0,0,0,not_exposed,not_exposed,0,0.0,0.0,not_exposed,not_exposed,not_exposed,not_exposed,94127.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.gromacs-111B,SetAssociativeWAM,regular/scientific,204541,75028,129513,12.9513,204541,204541,204538,204522,166019,38519,204538,10,204528,0,0,10,0,0,0,0,0,16,16,,,204513,204257,1,0,0,0,0,,,,,,,,,,,,204538,10,204528,256,204257,204257,1,4,1,2,3,204449,204258,165955,3,64,64,0,0,0,0,64,3195.91,2592,2657,2667,2734,2739,not_exposed
