trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold,variant
403.gcc-48B,confidence,0,825,0.3311922922521076,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,1,1602,0.6431152147731835,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,2,50,0.02007226013649137,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,3,9,0.0036130068245684463,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,4,4,0.0016057808109193096,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,5,1,0.0004014452027298274,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
403.gcc-48B,confidence,0,832,0.325508607198748,8,,SetAssociativeWAM
403.gcc-48B,confidence,1,1658,0.6486697965571205,8,,SetAssociativeWAM
403.gcc-48B,confidence,2,55,0.021517996870109544,8,,SetAssociativeWAM
403.gcc-48B,confidence,3,7,0.0027386541471048514,8,,SetAssociativeWAM
403.gcc-48B,confidence,4,3,0.0011737089201877935,8,,SetAssociativeWAM
403.gcc-48B,confidence,5,1,0.0003912363067292645,8,,SetAssociativeWAM
403.gcc-48B,confidence,6,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,7,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,8,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,9,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,10,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,11,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,12,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,13,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,14,0,0.0,8,,SetAssociativeWAM
403.gcc-48B,confidence,15,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,0,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,1,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,2,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,3,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,4,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,5,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,6,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,7,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,8,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,9,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,10,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,11,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,12,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,13,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,14,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,15,0,0.0,8,not_applicable,DirectMappedWAM
410.bwaves-945B,confidence,0,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,1,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,2,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,3,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,4,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,5,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,6,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,7,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,8,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,9,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,10,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,11,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,12,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,13,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,14,0,0.0,8,,SetAssociativeWAM
410.bwaves-945B,confidence,15,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,0,71,0.1802030456852792,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,1,319,0.8096446700507615,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,2,4,0.01015228426395939,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,3,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
416.gamess-875B,confidence,0,36,0.1037463976945245,8,,SetAssociativeWAM
416.gamess-875B,confidence,1,308,0.8876080691642652,8,,SetAssociativeWAM
416.gamess-875B,confidence,2,3,0.008645533141210375,8,,SetAssociativeWAM
416.gamess-875B,confidence,3,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,4,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,5,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,6,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,7,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,8,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,9,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,10,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,11,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,12,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,13,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,14,0,0.0,8,,SetAssociativeWAM
416.gamess-875B,confidence,15,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,0,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,1,7,1.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,2,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,3,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
429.mcf-217B,confidence,0,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,1,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,2,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,3,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,4,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,5,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,6,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,7,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,8,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,9,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,10,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,11,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,12,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,13,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,14,0,0.0,8,,SetAssociativeWAM
429.mcf-217B,confidence,15,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,0,105,0.038802660753880266,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,1,2466,0.9113082039911308,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,2,121,0.044715447154471545,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,3,12,0.004434589800443459,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,4,2,0.0007390983000739098,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
434.zeusmp-10B,confidence,0,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,1,54,1.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,2,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,3,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,4,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,5,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,6,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,7,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,8,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,9,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,10,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,11,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,12,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,13,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,14,0,0.0,8,,SetAssociativeWAM
434.zeusmp-10B,confidence,15,0,0.0,8,,SetAssociativeWAM
435.gromacs-111B,confidence,0,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,1,49,1.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,2,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,3,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
435.gromacs-111B,confidence,0,0,0.0,8,,SetAssociativeWAM
