trace,variant,stage,count,fraction_of_eligible,fraction_of_previous_stage,note
403.gcc-48B,DirectMappedWAM,eligible_accesses,13379,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,contexts_formed,13376,0.9997757679946184,0.9997757679946184,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,context_hits,2491,0.1861873084684954,0.18622906698564592,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,eligible_accesses,13379,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,contexts_formed,13376,0.9997757679946184,0.9997757679946184,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,context_hits,2556,0.19104566858509606,0.19108851674641147,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
403.gcc-48B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,eligible_accesses,430,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,contexts_formed,427,0.9930232558139535,0.9930232558139535,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,context_hits,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,DirectMappedWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,eligible_accesses,430,1.0,1.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,contexts_formed,427,0.9930232558139535,0.9930232558139535,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,context_hits,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,predictions_generated,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,predictions_above_threshold,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,prefetch_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,accepted_requests,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
410.bwaves-945B,SetAssociativeWAM,useful_prefetches,0,0.0,0.0,SA context_hits is exact tag hit; direct context_hits is frozen direct lookup hit
