trace,workload_class,predictor,ipc,speedup_vs_noprefetch,speedup_vs_direct,status
403.gcc-48B,control/compute,NoPrefetch,2.451586568446322,1.0,1.0,available
403.gcc-48B,control/compute,NativeSPP,2.4976240107537677,1.0187786321315269,1.0187786321315269,available
403.gcc-48B,control/compute,DirectMappedWAM,2.451586568446322,1.0,not_applicable,available
403.gcc-48B,control/compute,SetAssociativeWAM,2.451586568446322,1.0,1.0,available
410.bwaves-945B,irregular/memory-bound,NoPrefetch,3.031084976433324,1.0,1.0,available
410.bwaves-945B,irregular/memory-bound,NativeSPP,3.0400221799929534,1.0029485163329686,1.0029485163329686,available
410.bwaves-945B,irregular/memory-bound,DirectMappedWAM,3.031084976433324,1.0,not_applicable,available
410.bwaves-945B,irregular/memory-bound,SetAssociativeWAM,3.031084976433324,1.0,1.0,available
416.gamess-875B,irregular/scientific,NoPrefetch,1.7319631195773317,1.0,1.0,available
416.gamess-875B,irregular/scientific,NativeSPP,1.7372629526416907,1.003060014964783,1.003060014964783,available
416.gamess-875B,irregular/scientific,DirectMappedWAM,1.7319631195773317,1.0,not_applicable,available
416.gamess-875B,irregular/scientific,SetAssociativeWAM,1.7319631195773317,1.0,1.0,available
429.mcf-217B,irregular/pointer-heavy,NoPrefetch,0.08593534893144238,1.0,1.0,available
429.mcf-217B,irregular/pointer-heavy,NativeSPP,0.23584219671280415,2.7444142561282283,2.7444142561282283,available
429.mcf-217B,irregular/pointer-heavy,DirectMappedWAM,0.08593534893144238,1.0,not_applicable,available
429.mcf-217B,irregular/pointer-heavy,SetAssociativeWAM,0.08593534893144238,1.0,1.0,available
434.zeusmp-10B,irregular/scientific,NoPrefetch,1.4847803334311804,1.0,1.0,available
434.zeusmp-10B,irregular/scientific,NativeSPP,1.5951217349054427,1.074314966995336,1.074314966995336,available
434.zeusmp-10B,irregular/scientific,DirectMappedWAM,1.4847803334311804,1.0,not_applicable,available
434.zeusmp-10B,irregular/scientific,SetAssociativeWAM,1.4847803334311804,1.0,1.0,available
435.gromacs-111B,regular/scientific,NoPrefetch,1.6945194834155684,1.0,1.0,available
435.gromacs-111B,regular/scientific,NativeSPP,1.7021919807012282,1.0045278306686654,1.0045278306686654,available
435.gromacs-111B,regular/scientific,DirectMappedWAM,1.6945194834155684,1.0,not_applicable,available
435.gromacs-111B,regular/scientific,SetAssociativeWAM,1.6945194834155684,1.0,1.0,available
447.dealII-3B,irregular/tree/index-like,NoPrefetch,1.4346305690733594,1.0,1.0,available
447.dealII-3B,irregular/tree/index-like,NativeSPP,1.4363002406951462,1.0011638338522686,1.0011638338522686,available
447.dealII-3B,irregular/tree/index-like,DirectMappedWAM,1.4346305690733594,1.0,not_applicable,available
447.dealII-3B,irregular/tree/index-like,SetAssociativeWAM,1.4346305690733594,1.0,1.0,available
453.povray-576B,control/compute,NoPrefetch,1.5380970449928717,1.0,1.0,available
453.povray-576B,control/compute,NativeSPP,1.5625770643398855,1.0159157833549621,1.0159157833549621,available
453.povray-576B,control/compute,DirectMappedWAM,1.5380970449928717,1.0,not_applicable,available
453.povray-576B,control/compute,SetAssociativeWAM,1.5380970449928717,1.0,1.0,available
454.calculix-104B,irregular/scientific,NoPrefetch,2.1095869112802763,1.0,1.0,available
454.calculix-104B,irregular/scientific,NativeSPP,2.1104639960154445,1.000415761365639,1.000415761365639,available
454.calculix-104B,irregular/scientific,DirectMappedWAM,2.1095869112802763,1.0,not_applicable,available
454.calculix-104B,irregular/scientific,SetAssociativeWAM,2.1095869112802763,1.0,1.0,available
465.tonto-44B,control/compute,NoPrefetch,1.8028572041542879,1.0,1.0,available
465.tonto-44B,control/compute,NativeSPP,1.8079981862162195,1.0028515747393,1.0028515747393,available
465.tonto-44B,control/compute,DirectMappedWAM,1.8028572041542879,1.0,not_applicable,available
465.tonto-44B,control/compute,SetAssociativeWAM,1.8028572041542879,1.0,1.0,available
