trace,variant,oracle_accuracy,oracle_coverage,actual_accuracy,actual_coverage,accuracy_recovery,coverage_recovery
403.gcc-48B,DirectMappedWAM,0.15798764342453664,0.44906856916369403,0.0,0.0,0.0,0.0
403.gcc-48B,SetAssociativeWAM,0.15798764342453664,0.44906856916369403,0.0,0.0,0.0,0.0
410.bwaves-945B,DirectMappedWAM,0.0,0.0,0.0,0.0,0.0,0.0
410.bwaves-945B,SetAssociativeWAM,0.0,0.0,0.0,0.0,0.0,0.0
416.gamess-875B,DirectMappedWAM,0.052884615384615384,0.17915590008613264,0.0,0.0,0.0,0.0
416.gamess-875B,SetAssociativeWAM,0.052884615384615384,0.17915590008613264,0.0,0.0,0.0,0.0
429.mcf-217B,DirectMappedWAM,0.7959292590344165,0.9433929015346757,0.0,0.0,0.0,0.0
429.mcf-217B,SetAssociativeWAM,0.7959292590344165,0.9433929015346757,0.0,0.0,0.0,0.0
434.zeusmp-10B,DirectMappedWAM,0.5367460719716168,0.11020088994805534,0.0,0.0,0.0,0.0
434.zeusmp-10B,SetAssociativeWAM,0.5367460719716168,0.11020088994805534,0.0,0.0,0.0,0.0
435.gromacs-111B,DirectMappedWAM,0.025877303711184043,0.20397548792419795,0.0,0.0,0.0,0.0
435.gromacs-111B,SetAssociativeWAM,0.025877303711184043,0.20397548792419795,0.0,0.0,0.0,0.0
447.dealII-3B,DirectMappedWAM,0.9555555555555556,0.880476393024245,0.0,0.0,0.0,0.0
447.dealII-3B,SetAssociativeWAM,0.9555555555555556,0.880476393024245,0.0,0.0,0.0,0.0
453.povray-576B,DirectMappedWAM,0.4826570680628272,0.8325463131129677,0.0,0.0,0.0,0.0
453.povray-576B,SetAssociativeWAM,0.4826570680628272,0.8325463131129677,0.0,0.0,0.0,0.0
454.calculix-104B,DirectMappedWAM,0.0,0.0,0.0,0.0,0.0,0.0
454.calculix-104B,SetAssociativeWAM,0.0,0.0,0.0,0.0,0.0,0.0
465.tonto-44B,DirectMappedWAM,0.25391849529780564,0.15380906460945035,0.0,0.0,0.0,0.0
465.tonto-44B,SetAssociativeWAM,0.25391849529780564,0.15380906460945035,0.0,0.0,0.0,0.0
