trace,workload_class,direct_context_hit_rate,set_context_hit_rate,direct_alias_loss_rate,set_unresolved_conflict_rate,oracle_accuracy,oracle_coverage,direct_shadow_accuracy,set_shadow_accuracy,direct_shadow_coverage,set_shadow_coverage,direct_accuracy_recovery,set_accuracy_recovery,direct_coverage_recovery,set_coverage_recovery,set_replacement_events,set_same_set_distinct_contexts,set_sets_ever_full,direct_predictions_generated,set_predictions_generated
403.gcc-48B,control/compute,0.18622906698564592,0.19108851674641147,0.7932864832535885,0.7891746411483254,0.15798764342453664,0.44906856916369403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10543,7951,64,0,0
410.bwaves-945B,irregular/memory-bound,0.0,0.0,0.47540983606557374,0.3793911007025761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,363,57,0,0
416.gamess-875B,irregular/scientific,0.021177102929320075,0.018650900295619458,0.9642569201827466,0.9668368718086536,0.052884615384615384,0.17915590008613264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18017,15157,64,0,0
429.mcf-217B,irregular/pointer-heavy,6.083898701348366e-06,0.0,0.9997618588222615,0.999767073592577,0.7959292590344165,0.9433929015346757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150306,350793,64,0,0
434.zeusmp-10B,irregular/scientific,0.011132229161010046,0.00022215091452126477,0.9877652440780326,0.998662980607048,0.5367460719716168,0.11020088994805534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242759,143990,64,0,0
435.gromacs-111B,regular/scientific,0.00023956428634288004,4.889067068222042e-05,0.9984012750686914,0.9986310612208978,0.025877303711184043,0.20397548792419795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204257,165955,64,0,0
447.dealII-3B,irregular/tree/index-like,0.0007140307033202428,0.0007536990757269229,0.9885358403744694,0.9886151771192828,0.9555555555555556,0.880476393024245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24919,6045,64,0,0
453.povray-576B,control/compute,0.009926717220179513,0.0025729643436393436,0.987755067381096,0.9951512784151219,0.4826570680628272,0.8325463131129677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117206,25478,64,0,0
454.calculix-104B,irregular/scientific,0.0,0.0,0.617124394184168,0.5654281098546042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,555,62,0,0
465.tonto-44B,control/compute,0.005118097720698096,0.0038783100740693646,0.9861080204723909,0.9874431763995295,0.25391849529780564,0.15380906460945035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31074,14939,64,0,0
