trace_name,status,returncode,warmup_instructions,simulation_instructions,elapsed_seconds,json_path,event_path,prediction_path,stdout_path,stderr_path,executable,command
403.gcc-48B.champsimtrace.xz,completed,0,5000000,10000000,140.93695092201233,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/403.gcc-48B/stats.json,/private/tmp/set_associative_wam_raw/403.gcc-48B/events.bin,/private/tmp/set_associative_wam_raw/403.gcc-48B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/403.gcc-48B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/403.gcc-48B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/403.gcc-48B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/403.gcc-48B.champsimtrace.xz""]"
410.bwaves-945B.champsimtrace.xz,completed,0,5000000,10000000,99.34791111946106,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/410.bwaves-945B/stats.json,/private/tmp/set_associative_wam_raw/410.bwaves-945B/events.bin,/private/tmp/set_associative_wam_raw/410.bwaves-945B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/410.bwaves-945B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/410.bwaves-945B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/410.bwaves-945B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/410.bwaves-945B.champsimtrace.xz""]"
416.gamess-875B.champsimtrace.xz,completed,0,5000000,10000000,141.3489830493927,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/416.gamess-875B/stats.json,/private/tmp/set_associative_wam_raw/416.gamess-875B/events.bin,/private/tmp/set_associative_wam_raw/416.gamess-875B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/416.gamess-875B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/416.gamess-875B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/416.gamess-875B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/416.gamess-875B.champsimtrace.xz""]"
429.mcf-217B.champsimtrace.xz,completed,0,5000000,10000000,1006.3385980129242,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/429.mcf-217B/stats.json,/private/tmp/set_associative_wam_raw/429.mcf-217B/events.bin,/private/tmp/set_associative_wam_raw/429.mcf-217B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/429.mcf-217B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/429.mcf-217B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/429.mcf-217B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/429.mcf-217B.champsimtrace.xz""]"
434.zeusmp-10B.champsimtrace.xz,completed,0,5000000,10000000,155.3066668510437,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/434.zeusmp-10B/stats.json,/private/tmp/set_associative_wam_raw/434.zeusmp-10B/events.bin,/private/tmp/set_associative_wam_raw/434.zeusmp-10B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/434.zeusmp-10B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/434.zeusmp-10B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/434.zeusmp-10B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/434.zeusmp-10B.champsimtrace.xz""]"
435.gromacs-111B.champsimtrace.xz,completed,0,5000000,10000000,139.45795321464539,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/435.gromacs-111B/stats.json,/private/tmp/set_associative_wam_raw/435.gromacs-111B/events.bin,/private/tmp/set_associative_wam_raw/435.gromacs-111B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/435.gromacs-111B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/435.gromacs-111B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/435.gromacs-111B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/435.gromacs-111B.champsimtrace.xz""]"
447.dealII-3B.champsimtrace.xz,completed,0,5000000,10000000,144.4804060459137,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/447.dealII-3B/stats.json,/private/tmp/set_associative_wam_raw/447.dealII-3B/events.bin,/private/tmp/set_associative_wam_raw/447.dealII-3B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/447.dealII-3B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/447.dealII-3B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/447.dealII-3B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/447.dealII-3B.champsimtrace.xz""]"
453.povray-576B.champsimtrace.xz,completed,0,5000000,10000000,138.9621720314026,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/453.povray-576B/stats.json,/private/tmp/set_associative_wam_raw/453.povray-576B/events.bin,/private/tmp/set_associative_wam_raw/453.povray-576B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/453.povray-576B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/453.povray-576B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/453.povray-576B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/453.povray-576B.champsimtrace.xz""]"
454.calculix-104B.champsimtrace.xz,completed,0,5000000,10000000,114.90875816345215,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/454.calculix-104B/stats.json,/private/tmp/set_associative_wam_raw/454.calculix-104B/events.bin,/private/tmp/set_associative_wam_raw/454.calculix-104B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/454.calculix-104B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/454.calculix-104B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/454.calculix-104B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/454.calculix-104B.champsimtrace.xz""]"
465.tonto-44B.champsimtrace.xz,completed,0,5000000,10000000,134.2868297100067,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/465.tonto-44B/stats.json,/private/tmp/set_associative_wam_raw/465.tonto-44B/events.bin,/private/tmp/set_associative_wam_raw/465.tonto-44B/predictions.bin,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/465.tonto-44B/stdout.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/465.tonto-44B/stderr.txt,/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam,"[""/Users/ryanouardaoui/Documents/weighted-associative-memory/external/champsim/bin/champsim_set_associative_wam"", ""--hide-heartbeat"", ""--warmup-instructions"", ""5000000"", ""--simulation-instructions"", ""10000000"", ""--json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/results/set_associative_wam/runs/465.tonto-44B/stats.json"", ""/Users/ryanouardaoui/Documents/weighted-associative-memory/traces/champsim_public/spec2006/465.tonto-44B.champsimtrace.xz""]"
