trace,variant,median,p90,p95,p99,max,active_contexts_per_occupied_set_mean,occupied_sets,sets_ever_full
403.gcc-48B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
403.gcc-48B,SetAssociativeWAM,124.0,141.0,146.0,150.0,152.0,209.0,64,64
410.bwaves-945B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
410.bwaves-945B,SetAssociativeWAM,7.0,9.0,10.0,12.0,13.0,6.67188,64,57
416.gamess-875B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
416.gamess-875B,SetAssociativeWAM,238.0,254.0,257.0,266.0,268.0,290.703,64,64
429.mcf-217B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
429.mcf-217B,SetAssociativeWAM,5473.0,5571.0,5596.0,5649.0,5667.0,17977.8,64,64
434.zeusmp-10B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
434.zeusmp-10B,SetAssociativeWAM,2252.0,2300.0,2314.0,2352.0,2363.0,3798.09,64,64
435.gromacs-111B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
435.gromacs-111B,SetAssociativeWAM,2592.0,2657.0,2667.0,2734.0,2739.0,3195.91,64,64
447.dealII-3B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
447.dealII-3B,SetAssociativeWAM,95.0,108.0,112.0,120.0,122.0,393.891,64,64
453.povray-576B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
453.povray-576B,SetAssociativeWAM,400.0,419.0,421.0,425.0,429.0,1840.05,64,64
454.calculix-104B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
454.calculix-104B,SetAssociativeWAM,9.0,14.0,15.0,17.0,18.0,9.67188,64,62
465.tonto-44B,DirectMappedWAM,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_applicable
465.tonto-44B,SetAssociativeWAM,232.0,253.0,257.0,264.0,273.0,491.516,64,64
