trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold,variant
403.gcc-48B,support,0,0,0.0,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,1,0,0.0,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,2,72,0.02890405459654757,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,3,98,0.039341629867523084,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,4,92,0.03693295865114412,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,5,55,0.022079486150140507,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,6,62,0.024889602569249297,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,7,51,0.020473705339221198,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,8,55,0.022079486150140507,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,9,54,0.021678040947410677,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,10,52,0.020875150541951024,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,11,50,0.02007226013649137,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,12,47,0.018867924528301886,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,13,27,0.010839020473705338,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,14,36,0.014452027298273785,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,15,41,0.01645925331192292,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,16,1699,0.6820553994379767,not_applicable,not_applicable,DirectMappedWAM
403.gcc-48B,support,0,0,0.0,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,1,0,0.0,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,2,73,0.028560250391236306,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,3,103,0.04029733959311424,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,4,101,0.03951486697965571,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,5,66,0.025821596244131457,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,6,65,0.02543035993740219,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,7,47,0.018388106416275432,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,8,54,0.02112676056338028,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,9,66,0.025821596244131457,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,10,61,0.023865414710485134,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,11,55,0.021517996870109544,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,12,51,0.01995305164319249,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,13,26,0.010172143974960876,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,14,42,0.01643192488262911,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,15,40,0.01564945226917058,not_applicable,,SetAssociativeWAM
403.gcc-48B,support,16,1706,0.6674491392801252,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,0,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,1,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,2,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,3,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,4,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,5,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,6,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,7,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,8,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,9,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,10,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,11,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,12,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,13,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,14,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,15,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,16,0,0.0,not_applicable,not_applicable,DirectMappedWAM
410.bwaves-945B,support,0,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,1,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,2,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,3,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,4,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,5,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,6,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,7,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,8,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,9,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,10,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,11,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,12,0,0.0,not_applicable,,SetAssociativeWAM
410.bwaves-945B,support,13,0,0.0,not_applicable,,SetAssociativeWAM
