workload,predictor,trials,mean_speedup_over_none,std_speedup_over_none,mean_speedup_over_nextline,std_speedup_over_nextline,mean_speedup_over_stride,std_speedup_over_stride,mean_speedup_over_markov,std_speedup_over_markov,mean_top1_accuracy,std_top1_accuracy,mean_topk_accuracy,std_topk_accuracy,mean_average_memory_latency,std_average_memory_latency,mean_average_access_latency,std_average_access_latency,mean_prefetch_precision,std_prefetch_precision,mean_prefetch_coverage,std_prefetch_coverage,mean_estimated_bytes,std_estimated_bytes,mean_bytes_per_transition,std_bytes_per_transition,mean_predictor_lookup_overhead,std_predictor_lookup_overhead
Contextual,Markov-1,10,1.0174520069808028,0.0,0.9912739965095986,0.0,1.112565445026178,0.0,1.0,0.0,0.8256880733944955,0.0,1.0,0.0,4.0,0.0,10.513761467889909,0.0,1.0,0.0,1.0,0.0,144.0,0.0,24.0,0.0,109.0,0.0
Contextual,NextLine,10,1.0264084507042253,0.0,1.0,0.0,1.1223591549295775,0.0,1.0088028169014085,0.0,0.1651376146788991,0.0,0.1651376146788991,0.0,8.01834862385321,0.0,10.422018348623853,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,109.0,0.0
Contextual,None,10,1.0,0.0,0.9742710120068611,0.0,1.0934819897084047,0.0,0.9828473413379074,0.0,0.0,0.0,0.0,0.0,10.697247706422019,0.0,10.697247706422019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contextual,Stride,10,0.9145098039215687,0.0,0.8909803921568628,0.0,1.0,0.0,0.8988235294117647,0.0,0.0,0.0,0.0,0.0,10.697247706422019,0.0,11.697247706422019,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
Contextual,WAM depth=1,10,1.0174520069808028,0.0,0.9912739965095986,0.0,1.112565445026178,0.0,1.0,0.0,0.8256880733944955,0.0,1.0,0.0,4.0,0.0,10.513761467889909,0.0,1.0,0.0,1.0,0.0,120.0,0.0,24.0,0.0,109.0,0.0
Contextual,WAM depth=2,10,0.8304843304843305,0.0,0.8091168091168092,0.0,0.9081196581196581,0.0,0.8162393162393162,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.880733944954128,0.0,1.0,0.0,1.0,0.0,264.0,0.0,24.0,0.0,218.0,0.0
Contextual,WAM depth=3,10,0.7706543291473893,0.0,0.7508261731658956,0.0,0.8426966292134831,0.0,0.7574355584930601,0.0,1.0,0.0,1.0,0.0,4.0,0.0,13.880733944954128,0.0,1.0,0.0,1.0,0.0,408.0,0.0,24.0,0.0,327.0,0.0
Contextual,WAM depth=4,10,0.718865598027127,0.0,0.7003699136868065,0.0,0.7860665844636252,0.0,0.7065351418002466,0.0,1.0,0.0,1.0,0.0,4.0,0.0,14.880733944954128,0.0,1.0,0.0,1.0,0.0,552.0,0.0,24.0,0.0,436.0,0.0
Contextual,WAM depth=8,10,0.5665694849368319,0.0,0.5519922254616132,0.0,0.619533527696793,0.0,0.5568513119533528,0.0,1.0,0.0,1.0,0.0,4.0,0.0,18.880733944954127,0.0,1.0,0.0,1.0,0.0,1128.0,0.0,24.0,0.0,872.0,0.0
LongerDependency,Markov-1,10,1.0089965397923875,0.0,0.9820069204152249,0.0,1.0844290657439446,0.0,1.0,0.0,0.8990825688073395,0.0,1.0,0.0,4.0,0.0,13.256880733944953,0.0,1.0,0.0,1.0,0.0,192.0,0.0,24.0,0.0,109.0,0.0
LongerDependency,NextLine,10,1.0274841437632136,0.0,1.0,0.0,1.1042988019732205,0.0,1.018322762508809,0.0,0.5045871559633027,0.0,0.5045871559633027,0.0,6.678899082568807,0.0,13.01834862385321,0.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,109.0,0.0
LongerDependency,None,10,1.0,0.0,0.9732510288065843,0.0,1.0747599451303156,0.0,0.9910836762688614,0.0,0.0,0.0,0.0,0.0,13.376146788990825,0.0,13.376146788990825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongerDependency,Stride,10,0.9304403318442884,0.0,0.9055520102105935,0.0,1.0,0.0,0.9221442246330568,0.0,0.0,0.0,0.0,0.0,13.376146788990825,0.0,14.376146788990825,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
LongerDependency,WAM depth=1,10,1.0089965397923875,0.0,0.9820069204152249,0.0,1.0844290657439446,0.0,1.0,0.0,0.8990825688073395,0.0,1.0,0.0,4.0,0.0,13.256880733944953,0.0,1.0,0.0,1.0,0.0,168.0,0.0,24.0,0.0,109.0,0.0
LongerDependency,WAM depth=2,10,0.9382239382239382,0.0,0.9131274131274131,0.0,1.0083655083655083,0.0,0.9298584298584298,0.0,0.8990825688073395,0.0,1.0,0.0,4.0,0.0,14.256880733944953,0.0,1.0,0.0,1.0,0.0,360.0,0.0,24.0,0.0,218.0,0.0
LongerDependency,WAM depth=3,10,0.8767288033674083,0.0,0.8532772098616958,0.0,0.9422730006013229,0.0,0.8689116055321707,0.0,0.8990825688073395,0.0,1.0,0.0,4.0,0.0,15.256880733944953,0.0,1.0,0.0,1.0,0.0,576.0,0.0,24.0,0.0,327.0,0.0
LongerDependency,WAM depth=4,10,0.7585848074921956,0.0,0.7382934443288242,0.0,0.8152965660770031,0.0,0.7518210197710719,0.0,1.0,0.0,1.0,0.0,4.0,0.0,17.63302752293578,0.0,1.0,0.0,1.0,0.0,816.0,0.0,24.0,0.0,436.0,0.0
LongerDependency,WAM depth=8,10,0.6183206106870229,0.0,0.6017811704834606,0.0,0.6645462256149279,0.0,0.6128074639525021,0.0,1.0,0.0,1.0,0.0,4.0,0.0,21.63302752293578,0.0,1.0,0.0,1.0,0.0,1776.0,0.0,24.0,0.0,872.0,0.0
PhaseChanging,Markov-1,10,0.8775100401606426,0.0,0.9929718875502008,0.0,0.9869477911646586,0.0,1.0,0.0,0.6697247706422018,0.0,1.0,0.0,4.0,0.0,9.137614678899082,0.0,0.75,0.0,1.0,0.0,144.0,0.0,24.0,0.0,109.0,0.0
PhaseChanging,NextLine,10,0.8837209302325582,0.0,1.0,0.0,0.993933265925177,0.0,1.0070778564206269,0.0,0.3394495412844037,0.0,0.3394495412844037,0.0,6.678899082568807,0.0,9.073394495412844,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,109.0,0.0
PhaseChanging,None,10,1.0,0.0,1.131578947368421,0.0,1.1247139588100687,0.0,1.139588100686499,0.0,0.0,0.0,0.0,0.0,8.01834862385321,0.0,8.01834862385321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhaseChanging,Stride,10,0.8891149542217701,0.0,1.0061037639877926,0.0,1.0,0.0,1.0132248219735505,0.0,0.0,0.0,0.0,0.0,8.01834862385321,0.0,9.01834862385321,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
PhaseChanging,WAM depth=1,10,0.8775100401606426,0.0,0.9929718875502008,0.0,0.9869477911646586,0.0,1.0,0.0,0.6697247706422018,0.0,1.0,0.0,4.0,0.0,9.137614678899082,0.0,0.75,0.0,1.0,0.0,120.0,0.0,24.0,0.0,109.0,0.0
PhaseChanging,WAM depth=2,10,0.7916666666666666,0.0,0.8958333333333334,0.0,0.8903985507246377,0.0,0.9021739130434783,0.0,1.0,0.0,1.0,0.0,4.0,0.0,10.128440366972477,0.0,1.0,0.0,1.0,0.0,264.0,0.0,24.0,0.0,218.0,0.0
PhaseChanging,WAM depth=3,10,0.720527617477329,0.0,0.8153338829348722,0.0,0.8103874690849134,0.0,0.8211046990931574,0.0,1.0,0.0,1.0,0.0,4.0,0.0,11.128440366972477,0.0,1.0,0.0,1.0,0.0,432.0,0.0,24.0,0.0,327.0,0.0
PhaseChanging,WAM depth=4,10,0.6611195158850227,0.0,0.7481089258698941,0.0,0.74357034795764,0.0,0.7534039334341907,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.128440366972477,0.0,1.0,0.0,1.0,0.0,624.0,0.0,24.0,0.0,436.0,0.0
PhaseChanging,WAM depth=8,10,0.49715585893060293,0.0,0.5625711035267349,0.0,0.5591581342434585,0.0,0.5665529010238908,0.0,1.0,0.0,1.0,0.0,4.0,0.0,16.128440366972477,0.0,1.0,0.0,1.0,0.0,1632.0,0.0,24.0,0.0,872.0,0.0
Probabilistic,Markov-1,10,1.0245080825815827,0.0005314985924443178,0.994979112429618,0.0025913161766919187,1.1339898286613792,0.0005882959910486554,1.0,0.0,0.9146788990825688,0.017326257460813815,1.0,0.0,4.0,0.0,9.13394495412844,0.004737594307287217,1.0,0.0,1.0,0.0,120.0,0.0,24.0,0.0,109.0,0.0
Probabilistic,NextLine,10,1.029683008562465,0.002145354122270214,1.0,0.0,1.1397177614382579,0.0023746125529835113,1.0050523533287106,0.002614913247561258,0.5844036697247706,0.017326257460813815,0.5844036697247706,0.017326257460813815,6.143119266055046,0.6916887688639544,9.088073394495412,0.018950377229149787,0.7,0.04303314829119354,0.6,0.12909944487358058,0.0,0.0,0.0,0.0,109.0,0.0
Probabilistic,None,10,1.0,0.0,0.9711764705882353,0.002025089331350276,1.1068627450980393,0.0,0.976078431372549,0.000506272332837569,0.0,0.0,0.0,0.0,9.357798165137615,0.0,9.357798165137615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Probabilistic,Stride,10,0.9034543844109831,0.0,0.8774136403897254,0.0018295758352322952,1.0,0.0,0.8818423383525243,0.0004573939588080738,0.0,0.0,0.0,0.0,9.357798165137615,0.0,10.357798165137615,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
Probabilistic,WAM depth=1,10,1.0245080825815827,0.0005314985924443178,0.994979112429618,0.0025913161766919187,1.1339898286613792,0.0005882959910486554,1.0,0.0,0.9146788990825688,0.017326257460813815,1.0,0.0,4.0,0.0,9.13394495412844,0.004737594307287217,1.0,0.0,1.0,0.0,96.0,0.0,24.0,0.0,109.0,0.0
Probabilistic,WAM depth=2,10,0.9234113712374582,0.00043177071864070873,0.8967961833562857,0.0022896547226742715,1.0220896452226376,0.0004779109228877031,0.9013217260148206,4.6140204246937094e-05,0.9146788990825688,0.017326257460813815,1.0,0.0,4.0,0.0,10.13394495412844,0.004737594307287217,1.0,0.0,1.0,0.0,216.0,0.0,24.0,0.0,218.0,0.0
Probabilistic,WAM depth=3,10,0.8404747579421723,0.0003576885600151385,0.8162499609529384,0.002049695718910304,0.9302901977614829,0.0003959121414285536,0.8203691203613788,7.644716282677299e-05,0.9146788990825688,0.017326257460813815,1.0,0.0,4.0,0.0,11.13394495412844,0.004737594307287217,1.0,0.0,1.0,0.0,360.0,0.0,24.0,0.0,327.0,0.0
Probabilistic,WAM depth=4,10,0.7712083320468883,0.0003011571916186646,0.748979934888731,0.0018544787456440278,0.853621771451899,0.00033333967582108967,0.7527596817849682,9.654745260716062e-05,0.9146788990825688,0.017326257460813815,1.0,0.0,4.0,0.0,12.13394495412844,0.004737594307287217,1.0,0.0,1.0,0.0,552.0,0.0,24.0,0.0,436.0,0.0
Probabilistic,WAM depth=8,10,0.5800068686249362,0.00017033340482788256,0.5632893340344246,0.0013401231115135544,0.6419879947819147,0.00018853570004969902,0.5661321169011506,0.00012741606655260055,0.9142080368115694,0.01784043128346901,0.99346659743856,0.011695536197976747,4.0,0.0,16.13394495412844,0.0047375943072881345,1.0,0.0,1.0,0.0,1908.0,37.94733192202055,24.0,0.0,872.0,0.0
Random,Markov-1,10,1.0006334005969517,0.009843278239698923,0.9913884870659337,0.015824830768553694,1.0077075780784803,0.009935715636261071,1.0,0.0,0.004,0.012649110640673518,0.004,0.012649110640673518,139.9302752293578,2.5419566560245754,141.39816513761468,2.456764329868552,0.050493042952208106,0.05392927080864876,0.011709847011586894,0.012761751602711206,5995.2,10.119288512538814,24.0,0.0,109.0,0.0
Random,NextLine,10,1.009505103548728,0.015534903714233215,1.0,0.0,1.016641914186131,0.01565268038791488,1.0089208973939703,0.016331200999386068,0.001834862385321101,0.0038682295537227885,0.001834862385321101,0.0038682295537227885,137.98715596330277,2.7113509256436363,140.17155963302753,2.8748228503828073,0.027362294337673097,0.014602802548058864,0.02634034198569881,0.013802052482763606,0.0,0.0,0.0,0.0,109.0,0.0
Random,None,10,1.0,0.0,0.9907934048940652,0.015095075875646465,1.007069498656819,8.640325131064472e-05,0.9994534802425552,0.00976839739265778,0.0,0.0,0.0,0.0,141.4715596330275,1.710457451500823,141.4715596330275,1.710457451500823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random,Stride,10,0.9929801348945676,8.518779949243216e-05,0.9838382893629292,0.014998761747965038,1.0,0.0,0.9924376513140751,0.009723061964910743,0.0,0.0,0.0,0.0,141.4715596330275,1.710457451500823,142.4715596330275,1.710457451500823,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
Random,WAM depth=1,10,1.0006334005969517,0.009843278239698923,0.9913884870659337,0.015824830768553694,1.0077075780784803,0.009935715636261071,1.0,0.0,0.004,0.012649110640673518,0.004,0.012649110640673518,139.9302752293578,2.5419566560245754,141.39816513761468,2.456764329868552,0.050493042952208106,0.05392927080864876,0.011709847011586894,0.012761751602711206,5320.8,123.96128427860047,24.0,0.0,109.0,0.0
Random,WAM depth=2,10,0.9860391290095607,0.00018041916982351598,0.9769611509114615,0.014892996561121087,0.9930099174593892,9.856282170884582e-05,0.9855006273299138,0.009678162272486563,0.0,0.0,0.0,0.0,141.4715596330275,1.710457451500823,143.4743119266055,1.708990700921105,0.0,0.0,0.0,0.0,11284.8,120.6913418601351,24.0,0.0,218.0,0.0
Random,WAM depth=3,10,0.9792194573915851,0.00026154209304402097,0.9702044780232594,0.014807360202852334,0.98614202777541,0.00017931151573095675,0.9786848772403592,0.009635487160267742,0.0,0.0,0.0,0.0,141.4715596330275,1.710457451500823,144.47339449541283,1.7086959956185495,0.0,0.0,0.0,0.0,17198.4,130.0830503947382,24.0,0.0,327.0,0.0
Random,WAM depth=4,10,0.9724873703339665,0.0003393764769463619,0.9635344821397311,0.01471601191777571,0.9793623421639388,0.0002580378851985782,0.9719566526853731,0.009592990837845913,0.0,0.0,0.0,0.0,141.4715596330275,1.710457451500823,145.47339449541283,1.7086959956185495,0.0,0.0,0.0,0.0,23056.8,132.4477255372851,24.0,0.0,436.0,0.0
Random,WAM depth=8,10,0.9464600117351162,0.0006304074583704468,0.9377471636014741,0.014365317758967827,0.9531509605250224,0.0005531928028743361,0.9459442020128347,0.00943091857686408,0.0,0.0,0.0,0.0,141.4715596330275,1.710457451500823,149.47339449541283,1.7086959956185495,0.0,0.0,0.0,0.0,46024.8,139.5077058803563,24.0,0.0,872.0,0.0
Repeating,Markov-1,10,0.8908296943231441,0.0,0.9973799126637555,0.0,0.9973799126637555,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,10.504587155963304,0.0,1.0,0.0,1.0,0.0,96.0,0.0,24.0,0.0,109.0,0.0
Repeating,NextLine,10,0.8931698774080561,0.0,1.0,0.0,1.0,0.0,1.0026269702276707,0.0,0.7522935779816514,0.0,0.7522935779816514,0.0,5.339449541284404,0.0,10.477064220183486,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,109.0,0.0
Repeating,None,10,1.0,0.0,1.119607843137255,0.0,1.119607843137255,0.0,1.1225490196078431,0.0,0.0,0.0,0.0,0.0,9.357798165137615,0.0,9.357798165137615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repeating,Stride,10,0.8931698774080561,0.0,1.0,0.0,1.0,0.0,1.0026269702276707,0.0,0.7522935779816514,0.0,0.7522935779816514,0.0,5.339449541284404,0.0,10.477064220183486,0.0,0.75,0.0,0.75,0.0,16.0,0.0,16.0,0.0,109.0,0.0
Repeating,WAM depth=1,10,0.8908296943231441,0.0,0.9973799126637555,0.0,0.9973799126637555,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,10.504587155963304,0.0,1.0,0.0,1.0,0.0,96.0,0.0,24.0,0.0,109.0,0.0
Repeating,WAM depth=2,10,0.8133971291866029,0.0,0.9106858054226475,0.0,0.9106858054226475,0.0,0.9130781499202552,0.0,1.0,0.0,1.0,0.0,4.0,0.0,11.504587155963304,0.0,1.0,0.0,1.0,0.0,192.0,0.0,24.0,0.0,218.0,0.0
Repeating,WAM depth=3,10,0.7483492296404989,0.0,0.8378576669112252,0.0,0.8378576669112252,0.0,0.8400586940572267,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.504587155963304,0.0,1.0,0.0,1.0,0.0,288.0,0.0,24.0,0.0,327.0,0.0
Repeating,WAM depth=4,10,0.6929347826086957,0.0,0.7758152173913043,0.0,0.7758152173913043,0.0,0.7778532608695652,0.0,1.0,0.0,1.0,0.0,4.0,0.0,13.504587155963304,0.0,1.0,0.0,1.0,0.0,384.0,0.0,24.0,0.0,436.0,0.0
Repeating,WAM depth=8,10,0.5345911949685535,0.0,0.5985324947589099,0.0,0.5985324947589099,0.0,0.600104821802935,0.0,1.0,0.0,1.0,0.0,4.0,0.0,17.504587155963304,0.0,1.0,0.0,1.0,0.0,768.0,0.0,24.0,0.0,872.0,0.0
Sequential,Markov-1,10,0.9933774834437086,0.0,1.0264900662251655,0.0,1.0264900662251655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,24.0,0.0,109.0,0.0
Sequential,NextLine,10,0.967741935483871,0.0,1.0,0.0,1.0,0.0,0.9741935483870968,0.0,1.0,0.0,1.0,0.0,4.0,0.0,155.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0
Sequential,None,10,1.0,0.0,1.0333333333333334,0.0,1.0333333333333334,0.0,1.0066666666666666,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential,Stride,10,0.967741935483871,0.0,1.0,0.0,1.0,0.0,0.9741935483870968,0.0,1.0,0.0,1.0,0.0,4.0,0.0,155.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
Sequential,WAM depth=1,10,0.9933774834437086,0.0,1.0264900662251655,0.0,1.0264900662251655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,24.0,0.0,109.0,0.0
Sequential,WAM depth=2,10,0.9868421052631579,0.0,1.019736842105263,0.0,1.019736842105263,0.0,0.993421052631579,0.0,0.0,0.0,0.0,0.0,150.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,11952.0,0.0,24.0,0.0,218.0,0.0
Sequential,WAM depth=3,10,0.9803921568627451,0.0,1.0130718954248366,0.0,1.0130718954248366,0.0,0.9869281045751634,0.0,0.0,0.0,0.0,0.0,150.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,17856.0,0.0,24.0,0.0,327.0,0.0
Sequential,WAM depth=4,10,0.974025974025974,0.0,1.0064935064935066,0.0,1.0064935064935066,0.0,0.9805194805194806,0.0,0.0,0.0,0.0,0.0,150.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,23712.0,0.0,24.0,0.0,436.0,0.0
Sequential,WAM depth=8,10,0.9493670886075949,0.0,0.9810126582278481,0.0,0.9810126582278481,0.0,0.9556962025316456,0.0,0.0,0.0,0.0,0.0,150.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,46656.0,0.0,24.0,0.0,872.0,0.0
Stride,Markov-1,10,0.9933774834437086,0.0,1.0066225165562914,0.0,1.0264900662251655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,24.0,0.0,109.0,0.0
Stride,NextLine,10,0.9868421052631579,0.0,1.0,0.0,1.019736842105263,0.0,0.993421052631579,0.0,0.0,0.0,0.0,0.0,150.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0
Stride,None,10,1.0,0.0,1.0133333333333334,0.0,1.0333333333333334,0.0,1.0066666666666666,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stride,Stride,10,0.967741935483871,0.0,0.9806451612903225,0.0,1.0,0.0,0.9741935483870968,0.0,1.0,0.0,1.0,0.0,4.0,0.0,155.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,109.0,0.0
Stride,WAM depth=1,10,0.9933774834437086,0.0,1.0066225165562914,0.0,1.0264900662251655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,24.0,0.0,109.0,0.0
Stride,WAM depth=2,10,0.9868421052631579,0.0,1.0,0.0,1.019736842105263,0.0,0.993421052631579,0.0,0.0,0.0,0.0,0.0,150.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,11952.0,0.0,24.0,0.0,218.0,0.0
Stride,WAM depth=3,10,0.9803921568627451,0.0,0.9934640522875817,0.0,1.0130718954248366,0.0,0.9869281045751634,0.0,0.0,0.0,0.0,0.0,150.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,17856.0,0.0,24.0,0.0,327.0,0.0
Stride,WAM depth=4,10,0.974025974025974,0.0,0.987012987012987,0.0,1.0064935064935066,0.0,0.9805194805194806,0.0,0.0,0.0,0.0,0.0,150.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,23712.0,0.0,24.0,0.0,436.0,0.0
Stride,WAM depth=8,10,0.9493670886075949,0.0,0.9620253164556962,0.0,0.9810126582278481,0.0,0.9556962025316456,0.0,0.0,0.0,0.0,0.0,150.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,46656.0,0.0,24.0,0.0,872.0,0.0
